index,model_name,val_embedding_type,val_acc,test_embedding_type,test_acc,f1_micro,f1_weighted
0,elmo,elmo,0.759993,elmo,0.731891,0.733636,0.709466
1,bert,bert,0.768694,bert,0.760679,0.762099,0.738054
2,use,use,0.762036,use,0.735063,0.73621,0.712386
3,nnlm,nnlm,0.734443,nnlm,0.701229,0.702206,0.672556
4,mlstm char lm,mlstm_char_lm,0.757773,mlstm_char_lm,0.734759,0.73621,0.711722
