index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.735724,150,0.702598,0.704609,0.672301
1,text cnn,100,0.748816,200,0.722295,0.724222,0.697855
2,dcnn,300,0.740604,300,0.718867,0.720863,0.693203
3,rcnn,300,0.736809,300,0.710283,0.71216,0.673474
4,lstm,300,0.743734,100,0.71431,0.716426,0.680683
5,gru,100,0.73348,300,0.714287,0.716597,0.680843
