index,model_name,vocab_size,max_seq_length,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,10000,5,50,glove,glove.6B.50d,0.9154440020000001,0.7103499980000001,0.98383509,0.701802037,1.04201204,0.6726823080000001,0.6740132385388575,0.6740132385388575,0.6740132385388575,0.40753221196893286,0.3077477424958396,0.40753221196893286,0.6464659764725053,0.6740132385388575,0.6347327296925507
1,cnn,10000,10,50,glove,glove.6B.50d,0.7983838390000001,0.750881774,0.9538335809999999,0.727976567,0.953235746,0.7026139460000002,0.7040696249080657,0.7040696249080657,0.7040696249080657,0.4074385854362319,0.3298835367900879,0.4074385854362319,0.6710591882340369,0.7040696249080657,0.6726488812188504
2,cnn,10000,15,50,glove,glove.6B.50d,0.774739222,0.756396684,0.8944169389999999,0.739215994,0.9230933309999999,0.713367521,0.7145623927433193,0.7145623927433193,0.7145623927433195,0.4398071839469718,0.34322096278619185,0.4398071839469718,0.6834526382486126,0.7145623927433193,0.6829164534252242
3,cnn,10000,20,50,glove,glove.6B.50d,0.759762509,0.7625112300000001,0.920559288,0.7396745040000001,0.9395707479999998,0.7138964999999999,0.7153714145623927,0.7153714145623927,0.7153714145623927,0.4323925860601253,0.3293801382803387,0.4323925860601253,0.6834911304365214,0.7153714145623927,0.6840616805308116
4,text cnn,10000,5,50,glove,glove.6B.50d,0.8969505230000001,0.708455242,0.876851557,0.7110625189999998,0.980355604,0.67819336,0.6796028438342732,0.6796028438342732,0.6796028438342732,0.43446528666998335,0.333902116920565,0.43446528666998335,0.6506014685622058,0.6796028438342732,0.6451720571000052
5,text cnn,10000,10,50,glove,glove.6B.50d,0.7986373860000001,0.740722834,0.7861355640000001,0.7427143989999999,0.8759618699999999,0.713092463,0.7143417504290268,0.7143417504290268,0.7143417504290268,0.4522307822085499,0.34439210192071484,0.4522307822085499,0.6841484969810736,0.7143417504290268,0.6862981995977344
6,text cnn,10000,15,50,glove,glove.6B.50d,0.7786239460000001,0.7476511200000001,0.758541393,0.7522571259999999,0.8598254329999999,0.7213720840000001,0.7226280951213531,0.7226280951213531,0.7226280951213531,0.4388254725723157,0.34267383147572766,0.4388254725723157,0.6910835339185489,0.7226280951213531,0.6934286671894926
7,text cnn,10000,20,50,glove,glove.6B.50d,0.773953842,0.7494233699999999,0.750489515,0.755552486,0.8527402540000001,0.728208015,0.7294925226771267,0.7294925226771267,0.7294925226771266,0.43628498398491977,0.34062652295661155,0.43628498398491977,0.6980071973142645,0.7294925226771267,0.7013938945418909
8,dcnn,10000,5,50,glove,glove.6B.50d,0.9631685509999999,0.6961087329999999,0.913833955,0.703462004,0.9919991239999998,0.678282888,0.679970581024761,0.679970581024761,0.679970581024761,0.40470831537750734,0.3134517918369924,0.40470831537750734,0.6499010708126838,0.679970581024761,0.6403650899746107
9,dcnn,10000,10,50,glove,glove.6B.50d,0.8455768889999999,0.729420285,0.802789404,0.739009375,0.8805557609999999,0.71134279,0.7127237067908803,0.7127237067908803,0.7127237067908803,0.4193005447095165,0.33107959781588203,0.4193005447095165,0.68070522126366,0.7127237067908803,0.6802770357322689
10,dcnn,10000,15,50,glove,glove.6B.50d,0.8187921450000001,0.7372766050000001,0.772372981,0.7465960280000001,0.859806917,0.7194905680000001,0.7209610198578084,0.7209610198578084,0.7209610198578084,0.42931650320858805,0.3361253366436605,0.42931650320858805,0.691816800597956,0.7209610198578084,0.6902317477930653
11,dcnn,10000,20,50,glove,glove.6B.50d,0.8199990759999999,0.738089165,0.76923705,0.7489821429999999,0.8535587490000001,0.7244612850000001,0.7260357930865406,0.7260357930865406,0.7260357930865406,0.42095889746728876,0.33512988042980874,0.42095889746728876,0.6957076066705896,0.7260357930865406,0.6965062733612429
12,rcnn,10000,5,50,glove,glove.6B.50d,1.1175374999999999,0.684393249,1.06953908,0.691776205,1.1032359399999998,0.6606364100000001,0.6624172591321402,0.6624172591321402,0.6624172591321402,0.3329799633791359,0.24273760376696663,0.3329799633791359,0.6299835579612025,0.6624172591321402,0.6120385432547237
13,rcnn,10000,10,50,glove,glove.6B.50d,1.0030702199999997,0.717670083,0.9696286439999999,0.727271283,0.97785099,0.704174815,0.7054425104192206,0.7054425104192206,0.7054425104192206,0.3442523275374158,0.2685174373489446,0.3442523275374158,0.6676643367176951,0.7054425104192206,0.6667533360803723
14,rcnn,10000,15,50,glove,glove.6B.50d,0.980300586,0.725261677,0.933406704,0.7383358199999999,0.959532259,0.7153645989999999,0.716817847511645,0.716817847511645,0.716817847511645,0.35745730065991693,0.2714710488415875,0.35745730065991693,0.6795882665495665,0.716817847511645,0.6806193314768896
15,rcnn,10000,20,50,glove,glove.6B.50d,0.972850575,0.727472881,0.92594741,0.739967489,0.9630738749999999,0.717000338,0.7184604069624908,0.7184604069624908,0.7184604069624909,0.35147259643917805,0.2718963440570403,0.35147259643917805,0.6773554715146417,0.7184604069624908,0.68037804675646
16,lstm,10000,5,50,glove,glove.6B.50d,1.0697776200000002,0.692807559,1.04243142,0.698983386,1.0760143,0.672093105,0.6738661436626624,0.6738661436626624,0.6738661436626624,0.37917805642083896,0.2686605485776065,0.37917805642083896,0.6481456841868154,0.6738661436626624,0.6278066115726468
17,lstm,10000,10,50,glove,glove.6B.50d,0.9311860949999999,0.728397126,0.928516346,0.737285594,0.950283321,0.713304059,0.7148320666830105,0.7148320666830105,0.7148320666830105,0.38736318167007305,0.2878034565916963,0.38736318167007305,0.6793732351845527,0.7148320666830105,0.6802210181048849
18,lstm,10000,15,50,glove,glove.6B.50d,0.891141813,0.7390128029999999,0.884861152,0.747448974,0.9319379980000001,0.7193864099999999,0.72091198823241,0.72091198823241,0.72091198823241,0.3942247444910257,0.29010149459382817,0.3942247444910257,0.6928110654723665,0.72091198823241,0.683962968849089
19,lstm,10000,20,50,glove,glove.6B.50d,0.8725489920000001,0.742981992,0.870703569,0.752172943,0.9280014710000002,0.7247851729999999,0.7263054670262319,0.7263054670262319,0.7263054670262319,0.37103751701615134,0.28781215667716414,0.37103751701615134,0.6894916686391108,0.7263054670262319,0.6916253941891911
20,bi lstm,10000,5,50,glove,glove.6B.50d,1.10915022,0.6884261869999999,1.0787561999999997,0.693706276,1.09585235,0.6679004049999999,0.6696003922530032,0.6696003922530032,0.6696003922530032,0.35315020517490625,0.260535560815319,0.35315020517490625,0.642790085334988,0.6696003922530032,0.622171111959738
21,bi lstm,10000,10,50,glove,glove.6B.50d,0.9583627809999999,0.72544387,0.9526266549999999,0.734707501,0.9685039639999999,0.7066634350000001,0.7081637656288307,0.7081637656288307,0.7081637656288307,0.35520730202607315,0.2746007322611116,0.35520730202607315,0.6689995685947577,0.7081637656288307,0.6696283445506289
22,bi lstm,10000,15,50,glove,glove.6B.50d,0.9150193090000001,0.736892106,0.9220422040000003,0.74408762,0.9545173849999999,0.717265638,0.7187545967148812,0.7187545967148812,0.7187545967148812,0.3567491619421742,0.2746274965299794,0.3567491619421742,0.6795866415019656,0.7187545967148812,0.6812983859065276
23,bi lstm,10000,20,50,glove,glove.6B.50d,0.8969288050000002,0.7411897479999999,0.910794403,0.746713194,0.9504742510000002,0.721935229,0.7233880853150282,0.7233880853150282,0.7233880853150282,0.3765693307711017,0.2802869535826192,0.3765693307711017,0.6879747542279299,0.7233880853150282,0.6875521341036318
24,gru,10000,5,50,glove,glove.6B.50d,1.1547030299999999,0.6810606730000001,1.1263198799999998,0.6837490530000001,1.0870764,0.664659847,0.6662907575386123,0.6662907575386123,0.6662907575386123,0.3606024988915438,0.2514010569954224,0.3606024988915438,0.6403242715966024,0.6662907575386123,0.6181874645168233
