index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
75,text cnn,25,30,0.01188,0.98812,0.0,0.01188,0.98812,0.0
76,text cnn,25,35,0.00142,0.99858,0.0,0.00142,0.99858,0.0
77,text cnn,25,40,0.00026,0.99974,0.0,0.00026,0.99974,0.0
78,text cnn,25,45,0.00304,0.99696,0.0,0.00304,0.99696,0.0
79,text cnn,25,50,0.0009,0.9991,0.0,0.0009,0.9991,0.0
80,text cnn,30,35,0.0,0.99412,0.00588,0.0,0.99412,0.00588
81,text cnn,30,40,2e-05,0.9969,0.00308,2e-05,0.9969,0.00308
82,text cnn,30,45,2e-05,0.99894,0.00104,2e-05,0.99894,0.00104
83,text cnn,30,50,0.0007,0.99644,0.00286,0.0007,0.99644,0.00286
84,text cnn,35,40,2e-05,0.99994,4e-05,2e-05,0.99994,4e-05
85,text cnn,35,45,0.0,1.0,0.0,0.0,1.0,0.0
86,text cnn,35,50,8e-05,0.99992,0.0,8e-05,0.99992,0.0
87,text cnn,40,45,0.0,1.0,0.0,0.0,1.0,0.0
88,text cnn,40,50,0.00078,0.99922,0.0,0.00078,0.99922,0.0
89,text cnn,45,50,0.0,1.0,0.0,0.0,1.0,0.0
90,dcnn,5,10,0.0,0.0,1.0,0.0,0.0,1.0
91,dcnn,5,15,0.0,0.0,1.0,0.0,0.0,1.0
92,dcnn,5,20,0.0,0.0,1.0,0.0,0.0,1.0
93,dcnn,5,25,0.0,0.0,1.0,0.0,0.0,1.0
94,dcnn,5,30,0.0,0.0,1.0,0.0,0.0,1.0
95,dcnn,5,35,0.0,0.0,1.0,0.0,0.0,1.0
96,dcnn,5,40,0.0,0.0,1.0,0.0,0.0,1.0
97,dcnn,5,45,0.0,0.0,1.0,0.0,0.0,1.0
98,dcnn,5,50,0.0,0.0,1.0,0.0,0.0,1.0
99,dcnn,10,15,0.0,0.01486,0.98514,0.0,0.01486,0.98514
100,dcnn,10,20,0.0,0.00034,0.99966,0.0,0.00034,0.99966
101,dcnn,10,25,0.0,0.00034,0.99966,0.0,0.00034,0.99966
102,dcnn,10,30,0.0,4e-05,0.99996,0.0,4e-05,0.99996
103,dcnn,10,35,0.0,0.0,1.0,0.0,0.0,1.0
104,dcnn,10,40,0.0,0.0,1.0,0.0,0.0,1.0
105,dcnn,10,45,0.0,0.00014,0.99986,0.0,0.00014,0.99986
106,dcnn,10,50,0.0,0.0006,0.9994,0.0,0.0006,0.9994
107,dcnn,15,20,0.0,0.99976,0.00024,0.0,0.99976,0.00024
108,dcnn,15,25,0.0,0.99166,0.00834,0.0,0.99166,0.00834
109,dcnn,15,30,0.0,0.79926,0.20074,0.0,0.79926,0.20074
110,dcnn,15,35,0.0,0.8391,0.1609,0.0,0.8391,0.1609
111,dcnn,15,40,0.0,0.9434,0.0566,0.0,0.9434,0.0566
112,dcnn,15,45,0.0,0.81008,0.18992,0.0,0.81008,0.18992
113,dcnn,15,50,0.0,0.9765,0.0235,0.0,0.9765,0.0235
114,dcnn,20,25,0.0,1.0,0.0,0.0,1.0,0.0
115,dcnn,20,30,0.0,0.99998,2e-05,0.0,0.99998,2e-05
116,dcnn,20,35,0.0,0.99982,0.00018,0.0,0.99982,0.00018
117,dcnn,20,40,0.0,1.0,0.0,0.0,1.0,0.0
118,dcnn,20,45,0.0,0.99906,0.00094,0.0,0.99906,0.00094
119,dcnn,20,50,0.0,1.0,0.0,0.0,1.0,0.0
120,dcnn,25,30,0.0,1.0,0.0,0.0,1.0,0.0
121,dcnn,25,35,0.0,1.0,0.0,0.0,1.0,0.0
