index,model_name,max_seq_length,vocab_size,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,5,10000,50,0.9154440020000001,71.0349998,0.98383509,70.1802037,1.04201204,67.2682308,0.6740132385388575,0.6740132385388575,0.6740132385388575,0.40753221196893286,0.3077477424958396,0.40753221196893286,0.6464659764725053,0.6740132385388575,0.6347327296925507,0.0023119735900875463,0.05163147266456451,0.0027298795942393536,0.14278530851445262,0.011599360558256819,0.4465772955931441,0.004499837184370977,0.004499837184370977,0.004499837184370977,0.01960721953889736,0.017026737883012313,0.01960721953889736,0.007520305875284112,0.004499837184370977,0.005490235572210636
1,cnn,10,10000,50,0.7983838390000001,75.08817739999999,0.9538335809999999,72.7976567,0.953235746,70.26139459999999,0.7040696249080657,0.7040696249080657,0.7040696249080657,0.4074385854362319,0.3298835367900879,0.4074385854362319,0.6710591882340369,0.7040696249080657,0.6726488812188504,0.0016599281175497308,0.05313637469170911,0.013256354078682,0.2550192920157906,0.010162751933228433,0.46389684025491684,0.004597323196199206,0.004597323196199206,0.004597323196199179,0.03352671275972094,0.020808068505193195,0.03352671275972094,0.0074663039827532205,0.004597323196199206,0.006049639976619535
2,cnn,15,10000,50,0.774739222,75.6396684,0.8944169389999999,73.92159939999999,0.9230933309999999,71.3367521,0.7145623927433193,0.7145623927433193,0.7145623927433195,0.4398071839469718,0.34322096278619185,0.4398071839469718,0.6834526382486126,0.7145623927433193,0.6829164534252242,0.001517754828765164,0.05292420320546443,0.012626312039836487,0.3102966143948909,0.014768014554242563,0.5194012989705755,0.005198084631263892,0.005198084631263892,0.0051980846312639105,0.03638800699165017,0.026267103930580907,0.03638800699165017,0.008756786886570436,0.005198084631263892,0.009650837681259305
3,cnn,20,10000,50,0.759762509,76.25112299999999,0.920559288,73.9674504,0.9395707479999998,71.38965,0.7153714145623927,0.7153714145623927,0.7153714145623927,0.4323925860601253,0.3293801382803387,0.4323925860601253,0.6834911304365214,0.7153714145623927,0.6840616805308116,0.0024113258356276614,0.0728592298248317,0.012055757072045393,0.2747549289563767,0.01396044285394973,0.4596266090496132,0.004644364546337438,0.004644364546337438,0.004644364546337423,0.034240005506203826,0.02025690107069734,0.034240005506203826,0.007493909396326462,0.004644364546337438,0.005769378102412231
4,cnn,25,10000,50,0.762351715,76.0284716,0.886630499,74.3632371,0.9213647439999999,71.4586607,0.7160088256925717,0.7160088256925717,0.7160088256925717,0.45124947067762655,0.34606160334425384,0.45124947067762655,0.6862261823165203,0.7160088256925717,0.6846213130028694,0.0013456969804797564,0.03556415115190458,0.006116638717333897,0.21610257129297203,0.01667974917591465,0.4025613831628772,0.004030347911460033,0.004030347911460033,0.004030347911460002,0.031230510152334953,0.020933136595777575,0.031230510152334953,0.005598987258479545,0.004030347911460033,0.004638845223347875
5,cnn,30,10000,50,0.7609374420000001,76.08589989999999,0.885391172,74.28503789999999,0.9252445140000001,71.1974299,0.7133856337337583,0.7133856337337583,0.7133856337337583,0.43101202926911836,0.33030174565580117,0.43101202926911836,0.6819627013340538,0.7133856337337583,0.6799691958511975,0.0018760130314093846,0.0711990401409258,0.00919275849968372,0.1108774346879888,0.016205123230786673,0.45402259083697777,0.004677961402417607,0.004677961402417607,0.004677961402417609,0.022851830754556796,0.02047039625505526,0.022851830754556796,0.005414555547337341,0.004677961402417607,0.007460932813377972
6,cnn,35,10000,50,0.7592655300000001,76.1418516,0.8869558169999999,74.2378798,0.9096539079999999,71.78157759999999,0.7191958813434665,0.7191958813434665,0.7191958813434665,0.4464027055060148,0.34294929741315927,0.4464027055060148,0.6894491406113628,0.7191958813434665,0.6885734118608701,0.002288604762071819,0.07444676026261843,0.008592862716128026,0.15653913970051436,0.013257253315783896,0.4284864177964646,0.00426070750064566,0.00426070750064566,0.004260707500645659,0.03399360627265736,0.019312527343378107,0.03399360627265736,0.010404714651431701,0.00426070750064566,0.004804221142772926
7,cnn,40,10000,50,0.759519152,76.143455,0.8851072219999999,74.3271264,0.9246483399999998,71.5105811,0.7164746261338564,0.7164746261338564,0.7164746261338564,0.4383470983085235,0.33649446988157694,0.4383470983085235,0.6870548643741691,0.7164746261338564,0.68499440205721,0.0016568823264982416,0.07096282129241065,0.007639043610467011,0.15074792914531482,0.018430395144569064,0.35720797983447583,0.0035905414356158217,0.0035905414356158217,0.003590541435615806,0.01877696786439955,0.020335509885582994,0.01877696786439955,0.006855166175981443,0.0035905414356158217,0.004554904764552701
8,cnn,45,10000,50,0.759700194,76.1144267,0.8849496739999999,74.4299691,0.9134792200000001,71.74349049999998,0.7187300809021819,0.7187300809021819,0.7187300809021819,0.44925835917322826,0.34820635709086994,0.44925835917322826,0.6915296358970199,0.7187300809021819,0.6879510866631122,0.0011979761851852828,0.06008624407752882,0.012309915991554819,0.16978489878958286,0.015600480912951208,0.304241154776652,0.0030816982246813975,0.0030816982246813975,0.0030816982246813975,0.03107153549436865,0.02987767419345009,0.03107153549436865,0.0024816577886605045,0.0030816982246813975,0.005201038538865747
9,cnn,50,10000,50,0.7599191860000001,76.116393,0.884535603,74.31723000000001,0.9244252129999999,71.57470830000001,0.7170630056386369,0.7170630056386369,0.7170630056386369,0.4232172689181666,0.32804433046288284,0.4232172689181666,0.6891708252568444,0.7170630056386369,0.6864601657959487,0.001432796149904892,0.04267068558155821,0.010209071997916689,0.29388228820888235,0.017527126188649607,0.6074411007577506,0.006167999616656015,0.006167999616656015,0.006167999616656036,0.029426168204664295,0.020679272944358583,0.029426168204664295,0.007734396242104599,0.006167999616656015,0.00724966982418237
