index,model_name,val_max_seq_length,val_acc,test_max_seq_length,test_acc,f1_micro,f1_weighted
0,cnn,45,0.7443,35,0.717816,0.719196,0.688573
1,text cnn,25,0.75633,20,0.728208,0.729493,0.701394
2,dcnn,30,0.751016,35,0.726751,0.728169,0.699745
3,rcnn,40,0.744993,50,0.721986,0.723633,0.687361
4,lstm,25,0.753496,50,0.729147,0.730547,0.698838
5,bi lstm,35,0.748553,50,0.723076,0.724589,0.690797
6,gru,25,0.739449,40,0.721055,0.722726,0.688188
7,bi gru,30,0.735057,50,0.72043,0.722015,0.686763
