index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.738603,150,0.715185,0.717333,0.687882
1,text cnn,100,0.752424,200,0.728857,0.731062,0.710045
2,dcnn,100,0.74455,300,0.723519,0.725423,0.699156
3,rcnn,250,0.740613,300,0.717871,0.720029,0.683487
4,lstm,200,0.74738,300,0.726872,0.729345,0.69335
5,gru,100,0.737092,250,0.719613,0.7215,0.682432
