index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.736313,100,0.701652,0.703604,0.67052
1,text cnn,100,0.747781,150,0.721268,0.722996,0.697068
2,dcnn,300,0.740455,300,0.716017,0.717946,0.691493
3,rcnn,250,0.737034,150,0.709521,0.711645,0.67278
4,lstm,200,0.743762,300,0.714224,0.71645,0.678842
5,gru,150,0.732554,250,0.713107,0.715273,0.678216
