index,model_name,vocab_size,max_seq_length,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,500,128,50,glove,glove.6B.50d,0.847433477,0.730808405,0.8277408909999998,0.739672784,0.9446812400000001,0.702534194,0.7040451090953666,0.7040451090953666,0.7040451090953666,0.3995994217670545,0.29828733975618776,0.3995994217670545,0.6771471096000309,0.7040451090953666,0.6675994518378185
1,cnn,1000,128,50,glove,glove.6B.50d,0.8212693050000001,0.740010399,0.836042984,0.74109924,0.9322563189999998,0.712700208,0.7141701397401323,0.7141701397401323,0.7141701397401323,0.3927123904015094,0.3035478346973647,0.3927123904015094,0.6840663848852727,0.7141701397401323,0.6807651956774241
2,cnn,1500,128,50,glove,glove.6B.50d,0.804188778,0.746452014,0.8430046649999999,0.7437898320000002,0.920292574,0.716569022,0.7181662172101007,0.7181662172101007,0.7181662172101004,0.4150735117832591,0.3188348747368935,0.4150735117832591,0.6855008982821301,0.7181662172101007,0.685355735831085
3,cnn,2000,128,50,glove,glove.6B.50d,0.7934898589999999,0.750009036,0.8563896099999999,0.7448139160000001,0.9325892330000001,0.715559915,0.7170139740132385,0.7170139740132385,0.7170139740132385,0.42676132728108973,0.3164686664168563,0.42676132728108973,0.6864561366016293,0.7170139740132385,0.6847280507433117
4,cnn,2500,128,50,glove,glove.6B.50d,0.785025067,0.753390225,0.8636920029999999,0.7449746380000001,0.9277289989999999,0.7178743660000001,0.7191713655307674,0.7191713655307674,0.7191713655307674,0.4258049240084095,0.3274840627975705,0.4258049240084095,0.6852547875898838,0.7191713655307674,0.6872148752500103
5,cnn,3000,128,50,glove,glove.6B.50d,0.7768943260000001,0.756494007,0.870612114,0.7445019500000001,0.9331477710000001,0.715717775,0.7172836479529296,0.7172836479529296,0.7172836479529298,0.4148960870555375,0.32447597550186213,0.4148960870555375,0.6851008677792335,0.7172836479529296,0.6877903089953356
6,cnn,3500,128,50,glove,glove.6B.50d,0.7714061460000001,0.7583849909999999,0.883158755,0.743762132,0.9308933640000001,0.716793634,0.7181417013974013,0.7181417013974013,0.7181417013974013,0.41494872756592543,0.3140662181850793,0.41494872756592543,0.6880874280428085,0.7181417013974013,0.6868078954298815
7,cnn,4000,128,50,glove,glove.6B.50d,0.766228221,0.7605364729999999,0.8962512779999999,0.744004234,0.938523183,0.715874045,0.7173571953910273,0.7173571953910273,0.7173571953910273,0.41593718741051255,0.3121156172127558,0.41593718741051255,0.685258055675025,0.7173571953910273,0.6843154691375607
8,cnn,4500,128,50,glove,glove.6B.50d,0.7610740880000001,0.762373816,0.9026570730000001,0.7437282319999999,0.943453551,0.71495281,0.7163765628830596,0.7163765628830596,0.7163765628830596,0.4079424702152396,0.3156960563469718,0.4079424702152396,0.685231429565727,0.7163765628830596,0.6846427811122512
9,cnn,5000,128,50,glove,glove.6B.50d,0.7584886820000001,0.7635720050000001,0.9128630809999999,0.74399411,0.937382245,0.713347983,0.7147094876195146,0.7147094876195146,0.7147094876195147,0.40378857820861913,0.31219321037004105,0.40378857820861913,0.685233261259423,0.7147094876195146,0.6819713172915388
10,cnn,5500,128,50,glove,glove.6B.50d,0.754525071,0.764891869,0.9160128970000001,0.7439038790000001,0.9500671899999998,0.7154313290000001,0.716940426575141,0.716940426575141,0.716940426575141,0.4242463492509345,0.3291690412028857,0.4242463492509345,0.6864391863166939,0.716940426575141,0.6849673120152304
11,cnn,6000,128,50,glove,glove.6B.50d,0.7504195429999999,0.766238254,0.9271479590000002,0.742361687,0.9390597410000001,0.7162955890000001,0.717724932581515,0.717724932581515,0.7177249325815152,0.4090791482624244,0.3166462307011575,0.4090791482624244,0.684955542911484,0.717724932581515,0.6856511545641072
12,cnn,6500,128,50,glove,glove.6B.50d,0.7498748999999999,0.7664018,0.929480305,0.7427526820000001,0.9391872260000002,0.716803393,0.7180681539593038,0.7180681539593038,0.7180681539593038,0.4225914028716303,0.31472729735864513,0.4225914028716303,0.6924652210719011,0.7180681539593038,0.6865839764609232
13,cnn,7000,128,50,glove,glove.6B.50d,0.7457847849999999,0.7679124979999999,0.9320358219999999,0.7417236150000001,0.9442542249999999,0.718356137,0.7197107134101495,0.7197107134101495,0.7197107134101495,0.38014283202341437,0.3063189706907802,0.38014283202341437,0.684698677720476,0.7197107134101495,0.6886823937981628
14,cnn,7500,128,50,glove,glove.6B.50d,0.74525873,0.768318044,0.9356176719999999,0.7407637829999999,0.9335478000000001,0.7184912170000001,0.7197352292228488,0.7197352292228488,0.7197352292228488,0.4112651693947952,0.30722276226683787,0.4112651693947952,0.686344492138646,0.7197352292228488,0.6877988168017523
15,cnn,8000,128,50,glove,glove.6B.50d,0.741268202,0.7696816280000001,0.945319735,0.740564018,0.9385151300000001,0.713986011,0.7153223829369943,0.7153223829369943,0.7153223829369943,0.4065927102978327,0.31188594267661385,0.4065927102978327,0.6845740053251989,0.7153223829369943,0.6827752452385757
16,text cnn,500,128,50,glove,glove.6B.50d,0.7954727149999999,0.740414646,0.7676776459999999,0.748632219,0.8656264210000002,0.716184917,0.717724932581515,0.717724932581515,0.7177249325815152,0.40717455510432465,0.3136758774087879,0.40717455510432465,0.6881127992249624,0.717724932581515,0.6876255129950255
