index,model_name,embedding_type,embedding_dim,vocab_size,max_seq_length,use_punct,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,deps,100,1700,115,True,0.927712222,67.0776362,1.35044224,57.4235323,1.16484196,59.431034,0.5948225923244027,0.5948225923244027,0.5948225923244027,0.5770998624537242,0.5344344858837108,0.5770998624537242,0.5972956582978276,0.5948225923244027,0.5773220456774194,0.004106213943424455,0.2132008085709083,0.00990951388192173,0.24497483169685205,0.013908114065633229,0.4424688885414556,0.004285439747697404,0.004285439747697404,0.004285439747697404,0.01075992267048325,0.010337857856846044,0.01075992267048325,0.0040791376309127015,0.004285439747697404,0.004556272862115142
1,cnn,deps,150,1700,115,True,0.92904515,67.05505020000001,1.35754961,57.391467399999996,1.16982447,59.42887879999999,0.5946415640839972,0.5946415640839972,0.5946415640839972,0.5695519091567609,0.5323653337107772,0.5695519091567609,0.5937533149604106,0.5946415640839972,0.5735330267822848,0.004289722783780861,0.21715998502220749,0.012654313305347246,0.3209771901404994,0.019062584995223248,0.6069937938228971,0.006264495562638962,0.006264495562638962,0.006264495562638962,0.016910940796213227,0.007569926321286973,0.016910940796213227,0.009094576466069357,0.006264495562638962,0.006091032702903077
2,cnn,deps,200,1700,115,True,0.92792092,67.0435108,1.3566125599999999,57.7031722,1.16790044,58.96623520000001,0.590296886314265,0.590296886314265,0.590296886314265,0.5616726171740176,0.530748477948465,0.5616726171740176,0.5909027203734508,0.590296886314265,0.5715306289052163,0.003074824242561601,0.11820482067138711,0.010612956341106008,0.19135658363774943,0.012025941483790601,0.7248952859515947,0.006713411949289893,0.006713411949289893,0.006713411949289893,0.015482800110091729,0.012058026395789938,0.015482800110091729,0.009261977520305935,0.006713411949289893,0.008519520692666958
3,cnn,deps,250,1700,115,True,0.930194799,66.9553765,1.35585743,57.68054859999999,1.1656411899999999,59.32255680000001,0.5938088341781318,0.5938088341781318,0.5938088341781318,0.5708146652141229,0.5291508451799168,0.5708146652141229,0.5929940547339239,0.5938088341781318,0.5717398379912527,0.0034372119086467806,0.10874139886215846,0.013279050302140587,0.3412258755120047,0.016803508460665764,0.551359555037427,0.005449454539692406,0.005449454539692406,0.005449454539692406,0.02318558812943809,0.009185863350459065,0.02318558812943809,0.010768236548476851,0.005449454539692406,0.005020802003475694
4,cnn,deps,300,1700,115,True,0.9354213680000001,66.8317083,1.35716023,57.274516299999995,1.16586226,59.2155165,0.5922519913106444,0.5922519913106444,0.5922519913106444,0.5777304571764348,0.5349352887293793,0.5777304571764348,0.5955794778029159,0.5922519913106444,0.5705078232757408,0.003996152019352274,0.1604694885737552,0.014793493412612201,0.284290530604033,0.011724522072249506,0.8215291303731165,0.008808883698893143,0.008808883698893143,0.008808883698893143,0.016491851306180097,0.008507540555654128,0.016491851306180097,0.01009899430738043,0.008808883698893143,0.014863680565804178
5,cnn,fasttext,100,1700,115,True,0.912870646,67.54189009999999,1.35254117,57.698191800000004,1.15708155,59.3462636,0.5938088341781317,0.5938088341781317,0.5938088341781317,0.5755167448555698,0.5328807080372476,0.5755167448555698,0.5975623286850862,0.5938088341781317,0.575718838277633,0.0027115462253449,0.09594856819318431,0.007662625344713432,0.15505551951392504,0.016615728671904022,0.7989343315236607,0.008075022997946341,0.008075022997946341,0.008075022997946341,0.014709015475028593,0.011921863123860925,0.014709015475028593,0.008900179129680436,0.008075022997946341,0.006605160264778568
6,cnn,fasttext,150,1700,115,True,0.9093507540000001,67.5916264,1.3568237799999998,57.819683700000006,1.14921277,59.5337639,0.596017378711079,0.596017378711079,0.596017378711079,0.5746443258764391,0.5318058349140543,0.5746443258764391,0.5997493096700737,0.596017378711079,0.574487445341021,0.00418431835661357,0.14531759530475283,0.014446137865402619,0.2842215444684158,0.010988797874507359,0.739142513392743,0.006879708292894902,0.006879708292894902,0.006879708292894902,0.018117057082814702,0.009189753991330272,0.018117057082814702,0.009976449249650817,0.006879708292894902,0.009021396530850446
7,cnn,fasttext,200,1700,115,True,0.912000435,67.517191,1.3562233999999997,57.77966129999999,1.1631036799999999,59.47413730000001,0.5952570601013758,0.5952570601013758,0.5952570601013758,0.5739983266215531,0.5331778358592298,0.5739983266215531,0.5968238248207839,0.5952570601013758,0.5743191144083825,0.003578185167239119,0.17208609900666974,0.01997508239788314,0.3284291392709151,0.019569899615923748,0.4014545743244342,0.003997040872828479,0.003997040872828479,0.003997040872828479,0.012703081609194708,0.005569872651776842,0.012703081609194708,0.007348791968595766,0.003997040872828479,0.00576756473161512
8,cnn,fasttext,250,1700,115,True,0.9160875040000003,67.3207755,1.3604926899999998,57.754509600000006,1.1628601799999998,59.47126490000001,0.5951484431571324,0.5951484431571324,0.5951484431571324,0.5710327341465768,0.5334207017525857,0.5710327341465768,0.5943118421583018,0.5951484431571324,0.5731276314302028,0.004376277884441163,0.10721453976878695,0.010722333263121652,0.2851450333747106,0.018742565263283648,0.8928504829508978,0.008777412059525511,0.008777412059525511,0.008777412059525511,0.02004134003467178,0.010450427327503772,0.02004134003467178,0.01121744304698766,0.008777412059525511,0.00825189251186884
9,cnn,fasttext,300,1700,115,True,0.919704767,67.2165747,1.35444375,57.88218479999999,1.16352623,59.2794539,0.5933743664011586,0.5933743664011586,0.5933743664011586,0.5797959030782024,0.5333170695081255,0.5797959030782024,0.5985115640282949,0.5933743664011586,0.570786856433093,0.0035344378450800945,0.1540238165342914,0.014122207397905037,0.2010114931931359,0.02029759764422334,0.386807237498775,0.004072844859609653,0.004072844859609653,0.004072844859609653,0.02127521440634507,0.007833174113350681,0.02127521440634507,0.011771001490878449,0.004072844859609653,0.007402788129518612
