index,model_name,vocab_size,max_seq_length,to_lower,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7796375,75.25918,0.84863114,74.2247,0.91022104,72.33887,0.7243746934771947,0.7243746934771947,0.7243746934771949,0.4559704862786267,0.3259786294478267,0.4559704862786267,0.6933469268585314,0.7243746934771947,0.6937732676815943
1,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.78018683,75.23830500000001,0.8413775,74.50406,0.92333233,71.93079999999999,0.719960765080922,0.719960765080922,0.7199607650809219,0.4425981039232458,0.34877678603794554,0.4425981039232458,0.6950009813961205,0.719960765080922,0.6870843633764525
2,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.782786,75.17791,0.8420369000000001,74.31291999999999,0.91005397,71.92383000000001,0.7202059833251594,0.7202059833251594,0.7202059833251594,0.4785126125558879,0.3662724693197344,0.4785126125558879,0.6977046995566923,0.7202059833251594,0.6910536812240331
3,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7798544,75.291747,0.85899335,74.25317,0.882868,71.49483599999999,0.7165277096615988,0.7165277096615988,0.7165277096615988,0.4244542890091917,0.3629038779968177,0.4244542890091917,0.6791298984897741,0.7165277096615988,0.6854962907592458
4,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7803384,75.29219,0.85633147,74.46345,0.90396655,72.35631,0.7248651299656694,0.7248651299656694,0.7248651299656694,0.3902359758076139,0.33674949597144976,0.3902359758076139,0.6861842701356171,0.7248651299656694,0.6941711712829469
5,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7820201999999999,75.1575,0.8346355,74.958223,0.90513587,71.23675,0.7145659637076999,0.7145659637076999,0.7145659637076999,0.3892935648900263,0.3303188800882816,0.3892935648900263,0.6738903277177752,0.7145659637076999,0.6859178375448455
6,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7800989,75.259465,0.84016675,74.566376,0.9244911,71.71456,0.7187346738597352,0.7187346738597352,0.7187346738597352,0.4115520004705103,0.30319328325793593,0.4115520004705103,0.6831121182652371,0.7187346738597352,0.6872357527357885
7,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7833323,75.188017,0.84268624,74.55984,0.9083734,70.76939300000001,0.7089259440902403,0.7089259440902403,0.7089259440902403,0.45395354919471503,0.3345500387532271,0.45395354919471503,0.6961828182847439,0.7089259440902403,0.6748141222010744
8,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7796711,75.29754,0.8471296999999999,74.48376,0.8920181999999999,72.23424,0.7236390387444825,0.7236390387444825,0.7236390387444825,0.3868545013073816,0.3654907528430804,0.3868545013073816,0.6958681287667375,0.7236390387444825,0.6999730520007884
9,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.78256243,75.258636,0.8497872,74.20626,0.92630005,72.02497,0.7221677292790584,0.7221677292790584,0.7221677292790584,0.42793752452577694,0.34204147861035955,0.42793752452577694,0.6839498826201394,0.7221677292790584,0.6904378376720435
10,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.783606,75.298977,0.83698523,74.79859,0.8926806999999999,71.72154,0.7184894556154978,0.7184894556154978,0.7184894556154979,0.4571731978152783,0.3292633008149786,0.4571731978152783,0.7001055037513587,0.7184894556154978,0.6879539548335499
11,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7862682,75.24762,0.83516,74.8546,0.9210086999999999,71.84361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.45631056825166205,0.34079932585766043,0.45631056825166205,0.6885296461321323,0.7197155468366846,0.6852616982677202
12,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7857989000000001,75.338256,0.83748937,74.6875,0.9141529,71.55064300000001,0.7167729279058362,0.7167729279058362,0.7167729279058361,0.4314617414342115,0.34346769852638703,0.4314617414342115,0.6843108082286777,0.7167729279058362,0.6834961015412896
13,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7894397,75.17053000000001,0.8371141,74.71994000000001,0.9366346,72.32491399999999,0.7248651299656694,0.7248651299656694,0.7248651299656694,0.42603745181314223,0.3192944033456204,0.42603745181314223,0.6959158344390101,0.7248651299656694,0.6957645287269028
14,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7846702,75.2944,0.83228725,74.63895699999999,0.91311556,70.835656,0.7099068170671898,0.7099068170671898,0.7099068170671898,0.4339093187646724,0.3141175373339066,0.4339093187646724,0.6840029065626025,0.7099068170671898,0.6776816132038048
15,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7850194,75.364053,0.8411143,75.096387,0.91546553,71.84361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.38540376213074057,0.3129588877777573,0.38540376213074057,0.6893592487696746,0.7197155468366846,0.6879608792825893
16,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.78615314,75.28111,0.83052105,74.93349,0.94176495,71.05538,0.7121137812653261,0.7121137812653261,0.712113781265326,0.41817001716155133,0.3187531510467149,0.41817001716155133,0.6741964616156808,0.7121137812653261,0.6825698638497864
17,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.78851414,75.215095,0.84927565,74.57944,0.88975537,72.41211,0.7251103482099068,0.7251103482099068,0.7251103482099069,0.4906097395480445,0.3665062366378599,0.4906097395480445,0.6951107768023301,0.7251103482099068,0.6943674443998886
18,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7862992,75.332534,0.8447627000000001,74.55984,0.90624875,71.90639,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.4877443822882307,0.3592793282556417,0.4877443822882307,0.7031766960583249,0.7197155468366846,0.6945645106074432
19,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.78699696,75.239307,0.8272735999999999,74.46228,0.90755975,72.265625,0.7236390387444825,0.7236390387444825,0.7236390387444825,0.4853417395703754,0.3382455331582125,0.4853417395703754,0.6948296926876799,0.7236390387444825,0.6925603914253946
20,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8259811,73.59424,0.782407,74.653894,0.85846084,71.794784,0.7192251103482099,0.7192251103482099,0.7192251103482099,0.4491435653756439,0.3194814940650357,0.4491435653756439,0.6844042860539943,0.7192251103482099,0.6858360774897622
21,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8248424000000001,73.623514,0.7858545,74.97689999999999,0.8371485999999999,72.893417,0.7302599313388917,0.7302599313388917,0.7302599313388917,0.4306690372297405,0.34266848529151833,0.4306690372297405,0.6973534971442181,0.7302599313388917,0.7038755869904646
22,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8178526999999999,73.746777,0.7883536999999999,74.67630000000001,0.8532693000000001,72.576034,0.7270720941638058,0.7270720941638058,0.7270720941638059,0.4361429678443178,0.3432761209479279,0.4361429678443178,0.6905016299199855,0.7270720941638058,0.695721349723934
