index,model_name,vocab_size,max_seq_length,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,500,128,50,0.847433477,73.0808405,0.8277408909999998,73.9672784,0.9446812400000001,70.25341939999998,0.7040451090953666,0.7040451090953666,0.7040451090953666,0.3995994217670545,0.29828733975618776,0.3995994217670545,0.6771471096000309,0.7040451090953666,0.6675994518378185,0.0012849737982892852,0.06120425690396877,0.00711216425683092,0.36974412512805593,0.014055398599345735,0.6088848460690168,0.006215831631415364,0.006215831631415364,0.006215831631415382,0.029894098194813368,0.022667424626341595,0.029894098194813368,0.008258173995004035,0.006215831631415364,0.00858686639093112
1,cnn,7500,128,50,0.74525873,76.8318044,0.9356176719999999,74.07637829999999,0.9335478000000001,71.8491217,0.7197352292228488,0.7197352292228488,0.7197352292228488,0.4112651693947952,0.30722276226683787,0.4112651693947952,0.686344492138646,0.7197352292228488,0.6877988168017523,0.002677036971649412,0.0723101211345202,0.010010559849876121,0.1485217836286392,0.01632109369684179,0.6333018844832263,0.006126010570879324,0.006126010570879324,0.006126010570879289,0.034435740745581624,0.01604832802258197,0.034435740745581624,0.009890152897928075,0.006126010570879324,0.007334214664360308
2,cnn,7000,128,50,0.7457847849999999,76.79124980000002,0.9320358219999999,74.1723615,0.9442542249999999,71.8356137,0.7197107134101495,0.7197107134101495,0.7197107134101495,0.38014283202341437,0.3063189706907802,0.38014283202341437,0.684698677720476,0.7197107134101495,0.6886823937981628,0.0021159459723949555,0.07700934775265532,0.011661981990362055,0.1422475247410129,0.012092285574793565,0.33998121342348064,0.003327594513865361,0.003327594513865361,0.003327594513865365,0.014958575753987688,0.00903145817266587,0.014958575753987688,0.007231947063026917,0.003327594513865361,0.0054144161079529764
3,cnn,6500,128,50,0.7498748999999999,76.64018000000002,0.929480305,74.2752682,0.9391872260000002,71.6803393,0.7180681539593038,0.7180681539593038,0.7180681539593038,0.4225914028716303,0.31472729735864513,0.4225914028716303,0.6924652210719011,0.7180681539593038,0.6865839764609232,0.002123238884623637,0.08691049102125373,0.008952048665193021,0.18988062039947723,0.007237599479923019,0.6109876068377716,0.006246055174968209,0.006246055174968209,0.006246055174968195,0.03416464907413537,0.016790931232920477,0.03416464907413537,0.011046452873629814,0.006246055174968209,0.009038019217989848
4,cnn,6000,128,50,0.7504195429999999,76.6238254,0.9271479590000002,74.2361687,0.9390597410000001,71.6295589,0.717724932581515,0.717724932581515,0.7177249325815152,0.4090791482624244,0.3166462307011575,0.4090791482624244,0.684955542911484,0.717724932581515,0.6856511545641072,0.0014617418056327408,0.03540739656939225,0.0159555146243071,0.26355011287969565,0.01686463883617331,0.4873535368152407,0.004997859742416069,0.004997859742416069,0.004997859742416046,0.04813651948756618,0.017584948007223825,0.04813651948756618,0.007366728582986661,0.004997859742416069,0.006076914843999733
5,cnn,5500,128,50,0.754525071,76.48918689999999,0.9160128970000001,74.3903879,0.9500671899999998,71.5431329,0.716940426575141,0.716940426575141,0.716940426575141,0.4242463492509345,0.3291690412028857,0.4242463492509345,0.6864391863166939,0.716940426575141,0.6849673120152304,0.0023058258210235283,0.07797875770355354,0.007736519700290241,0.23986224814507204,0.014900260639709924,0.5491320157910667,0.005561962628156545,0.005561962628156545,0.005561962628156525,0.04267269035549118,0.025049007904704552,0.04267269035549118,0.006263355067718532,0.005561962628156545,0.006771753429566755
6,cnn,5000,128,50,0.7584886820000001,76.3572005,0.9128630809999999,74.399411,0.937382245,71.3347983,0.7147094876195146,0.7147094876195146,0.7147094876195147,0.40378857820861913,0.31219321037004105,0.40378857820861913,0.685233261259423,0.7147094876195146,0.6819713172915388,0.0015186052228336757,0.06842496866763523,0.010278100845910179,0.16276298473410392,0.013953715206538483,0.6152199651499632,0.006272780553496809,0.006272780553496809,0.0062727805534968034,0.039001692488728146,0.017399565446063317,0.039001692488728146,0.009789240857320936,0.006272780553496809,0.008685919076186608
7,cnn,4500,128,50,0.7610740880000001,76.2373816,0.9026570730000001,74.3728232,0.943453551,71.495281,0.7163765628830596,0.7163765628830596,0.7163765628830596,0.4079424702152396,0.3156960563469718,0.4079424702152396,0.685231429565727,0.7163765628830596,0.6846427811122512,0.003028733779775145,0.09139636019399738,0.011211336667134017,0.20515311491273974,0.009542224922337411,0.25894275468656613,0.0023555884675846026,0.0023555884675846026,0.0023555884675845904,0.020653206312268465,0.015353727143565312,0.020653206312268465,0.0056022917215823665,0.0023555884675846026,0.0038051661402310655
8,cnn,8000,128,50,0.741268202,76.9681628,0.945319735,74.0564018,0.9385151300000001,71.39860110000001,0.7153223829369943,0.7153223829369943,0.7153223829369943,0.4065927102978327,0.31188594267661385,0.4065927102978327,0.6845740053251989,0.7153223829369943,0.6827752452385757,0.0015638117136293817,0.04998223606842427,0.011558119055592493,0.16515661270900497,0.009154032220269568,0.7611601514811209,0.007503779047638464,0.007503779047638464,0.007503779047638464,0.02364060688205819,0.017474763202486195,0.02364060688205819,0.008163108944155286,0.007503779047638464,0.01067886811611034
9,cnn,3500,128,50,0.7714061460000001,75.8384991,0.883158755,74.3762132,0.9308933640000001,71.6793634,0.7181417013974013,0.7181417013974013,0.7181417013974013,0.41494872756592543,0.3140662181850793,0.41494872756592543,0.6880874280428085,0.7181417013974013,0.6868078954298815,0.0014415501849143631,0.06549702043850238,0.010928045836578552,0.1872878667202418,0.016742592755695587,0.3401892432345441,0.0034127991583996578,0.0034127991583996578,0.0034127991583996547,0.04402730520338134,0.016821977905588772,0.04402730520338134,0.008286116721210669,0.0034127991583996578,0.0029675283087772855
