index,model_name,val_vocab_size,val_acc,test_vocab_size,test_acc,f1_micro
0,cnn,2500,0.744975,7500,0.718491,0.719735
1,text cnn,5500,0.756117,2500,0.728534,0.729958
2,dcnn,7500,0.751531,8000,0.726971,0.728389
3,rcnn,7500,0.743606,7000,0.717692,0.719294
4,lstm,7000,0.752472,2500,0.729049,0.730449
5,bi lstm,8000,0.749769,8000,0.72806,0.729566
6,gru,8000,0.738904,6500,0.719435,0.720961
7,bi gru,4000,0.731305,8000,0.71847,0.720103
