index,model_name,vocab_size,max_seq_length,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,500,128,50,glove,glove.6B.50d,0.8493203000000001,73.03265999999999,0.8231593,73.94869,0.955732,69.79167,0.6994361363079186,0.6994361363079186,0.6994361363079186,0.4077575135476669,0.3186402348490886,0.4077575135476669,0.6767916996986363,0.6994361363079186,0.6596625203428358
1,cnn,500,128,50,glove,glove.6B.50d,0.84813094,73.030317,0.8283476999999999,73.931104,0.95308936,69.352216,0.6950232900220642,0.6950232900220642,0.6950232900220642,0.39041235987138334,0.2958496138631056,0.39041235987138334,0.6648389404861286,0.6950232900220642,0.6541919776661661
2,cnn,500,128,50,glove,glove.6B.50d,0.8469346,73.18566,0.8142454,74.45015000000001,0.9382739999999999,70.112306,0.7023780338318215,0.7023780338318215,0.7023780338318215,0.410579266196446,0.2767032608651441,0.410579266196446,0.6771906001742218,0.7023780338318215,0.6695502752497854
3,cnn,500,128,50,glove,glove.6B.50d,0.8486676,72.985405,0.8365041999999999,73.464805,0.9373254999999999,70.520836,0.7070360382446678,0.7070360382446678,0.7070360382446678,0.4034670822571925,0.3066679147943536,0.4034670822571925,0.67610482776056,0.7070360382446678,0.6680447049072954
4,cnn,500,128,50,glove,glove.6B.50d,0.8472215,73.109514,0.8315968,73.62319000000001,0.9748924000000001,69.453126,0.6957587644030401,0.6957587644030401,0.6957587644030401,0.3529983728177106,0.26041029227639084,0.3529983728177106,0.6674328415172529,0.6957587644030401,0.6567325392514548
5,cnn,500,128,50,glove,glove.6B.50d,0.84764963,73.03035,0.8208175999999999,74.26281999999999,0.93907374,71.15234000000001,0.7136553076734494,0.7136553076734494,0.7136553076734493,0.3925480097186968,0.29903653727211665,0.3925480097186968,0.6812735398187209,0.7136553076734494,0.6823596329598637
6,cnn,500,128,50,glove,glove.6B.50d,0.84731597,73.08518000000001,0.83323014,73.39868,0.92732334,70.55176,0.7067908801176759,0.7067908801176759,0.7067908801176759,0.4658494109683076,0.3406322135074931,0.4658494109683076,0.6893086830082098,0.7067908801176759,0.6713805646812113
7,cnn,500,128,50,glove,glove.6B.50d,0.8452089,73.135144,0.83408123,74.19825,0.9292607,70.377606,0.7053199313557245,0.7053199313557245,0.7053199313557245,0.40750813365741706,0.28723499867809266,0.40750813365741706,0.6888389417051335,0.7053199313557245,0.6712641272312614
8,cnn,500,128,50,glove,glove.6B.50d,0.84561867,73.129755,0.82314,74.36286,0.9472794,70.15788,0.7031135082127973,0.7031135082127973,0.7031135082127973,0.3981589546664657,0.31143713639670106,0.3981589546664657,0.6696263441186641,0.7031135082127973,0.6679241920021007
9,cnn,500,128,50,glove,glove.6B.50d,0.84826666,73.08442,0.83228654,74.032235,0.94456196,71.064454,0.711939200784506,0.711939200784506,0.711939200784506,0.3667151139692579,0.2862611950593914,0.3667151139692579,0.6800646777127818,0.711939200784506,0.6748839840862106
10,cnn,1000,128,50,glove,glove.6B.50d,0.8206039,74.049383,0.832733,74.18456,0.9279004000000001,70.621747,0.7077715126256435,0.7077715126256435,0.7077715126256435,0.32978279009801514,0.2982739692234101,0.32978279009801514,0.6720324156516471,0.7077715126256435,0.6701818927745815
11,cnn,1000,128,50,glove,glove.6B.50d,0.81834626,74.029744,0.83690655,74.1995,0.9289795,71.54948,0.7170875214513361,0.7170875214513361,0.7170875214513361,0.3845341288125913,0.2818394655141881,0.3845341288125913,0.6877698082844347,0.7170875214513361,0.6848675722748401
12,cnn,1000,128,50,glove,glove.6B.50d,0.81849873,74.102986,0.82378495,74.28974000000001,0.9136559000000001,70.691735,0.7087521451336112,0.7087521451336112,0.7087521451336112,0.4169369459388539,0.2897104717457574,0.4169369459388539,0.6778425149533828,0.7087521451336112,0.6744792050223058
13,cnn,1000,128,50,glove,glove.6B.50d,0.82215995,73.88520000000001,0.8301359,74.096805,0.9185728000000001,70.86914,0.7099779357685707,0.7099779357685707,0.7099779357685707,0.35523000493070506,0.3034202123964222,0.35523000493070506,0.6725893966675326,0.7099779357685707,0.6782847391469526
14,cnn,1000,128,50,glove,glove.6B.50d,0.8200407,74.02568000000001,0.8509037,73.53638000000001,0.9695860999999999,71.37533,0.7156165726893846,0.7156165726893846,0.7156165726893846,0.4261534518224489,0.3241788336389667,0.4261534518224489,0.6866281002311408,0.7156165726893846,0.6791964540478468
15,cnn,1000,128,50,glove,glove.6B.50d,0.8243087,73.93661999999999,0.8300453000000001,74.19373999999999,0.9382613000000001,71.35417,0.7151262564354008,0.7151262564354008,0.7151262564354008,0.4171173639273438,0.33061982836104065,0.4171173639273438,0.6840288111019822,0.7151262564354008,0.685245453740644
