index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
361,rcnn,500,1500,0.0,0.02762,0.97238,0.0,0.02762,0.97238
362,rcnn,500,2000,0.0,0.00346,0.99654,0.0,0.00346,0.99654
363,rcnn,500,2500,0.0,0.0033,0.9967,0.0,0.0033,0.9967
364,rcnn,500,3000,0.0,0.11316,0.88684,0.0,0.11316,0.88684
365,rcnn,500,3500,0.0,0.02296,0.97704,0.0,0.02296,0.97704
366,rcnn,500,4000,0.0,0.00018,0.99982,0.0,0.00018,0.99982
367,rcnn,500,4500,0.0,0.00228,0.99772,0.0,0.00228,0.99772
368,rcnn,500,5000,0.0,0.00244,0.99756,0.0,0.00244,0.99756
369,rcnn,500,5500,0.0,8e-05,0.99992,0.0,8e-05,0.99992
370,rcnn,500,6000,0.0,0.00026,0.99974,0.0,0.00026,0.99974
371,rcnn,500,6500,0.0,0.0,1.0,0.0,0.0,1.0
372,rcnn,500,7000,0.0,2e-05,0.99998,0.0,2e-05,0.99998
373,rcnn,500,7500,0.0,0.0001,0.9999,0.0,0.0001,0.9999
374,rcnn,500,8000,0.0,0.0006,0.9994,0.0,0.0006,0.9994
375,rcnn,1000,1500,0.0,0.9699,0.0301,0.0,0.9699,0.0301
376,rcnn,1000,2000,0.0,0.96092,0.03908,0.0,0.96092,0.03908
377,rcnn,1000,2500,0.0,0.9326,0.0674,0.0,0.9326,0.0674
378,rcnn,1000,3000,0.00024,0.92064,0.07912,0.00024,0.92064,0.07912
379,rcnn,1000,3500,0.0,0.87246,0.12754,0.0,0.87246,0.12754
380,rcnn,1000,4000,0.0,0.1103,0.8897,0.0,0.1103,0.8897
381,rcnn,1000,4500,0.0,0.45854,0.54146,0.0,0.45854,0.54146
382,rcnn,1000,5000,0.0,0.12464,0.87536,0.0,0.12464,0.87536
383,rcnn,1000,5500,2e-05,0.26484,0.73514,2e-05,0.26484,0.73514
384,rcnn,1000,6000,0.0,0.33524,0.66476,0.0,0.33524,0.66476
385,rcnn,1000,6500,0.0,0.09228,0.90772,0.0,0.09228,0.90772
386,rcnn,1000,7000,0.0,0.07672,0.92328,0.0,0.07672,0.92328
387,rcnn,1000,7500,0.0,0.1179,0.8821,0.0,0.1179,0.8821
388,rcnn,1000,8000,0.0,0.23478,0.76522,0.0,0.23478,0.76522
389,rcnn,1500,2000,0.0,0.99986,0.00014,0.0,0.99986,0.00014
390,rcnn,1500,2500,0.0,0.99984,0.00016,0.0,0.99984,0.00016
391,rcnn,1500,3000,0.00022,0.99978,0.0,0.00022,0.99978,0.0
392,rcnn,1500,3500,0.0,0.9986,0.0014,0.0,0.9986,0.0014
393,rcnn,1500,4000,0.0,0.91144,0.08856,0.0,0.91144,0.08856
394,rcnn,1500,4500,0.0,0.99132,0.00868,0.0,0.99132,0.00868
