index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.735754,100,0.701693,0.703506,0.671198
1,text cnn,150,0.7488,250,0.722873,0.724663,0.697821
2,dcnn,200,0.739873,150,0.718535,0.720446,0.69291
3,rcnn,250,0.737973,100,0.707843,0.709904,0.67054
4,lstm,300,0.7443,250,0.718319,0.720618,0.684725
5,gru,100,0.733016,250,0.712085,0.714219,0.677337
