index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.738944,250,0.70887,0.710713,0.677217
1,text cnn,150,0.752328,250,0.729622,0.731552,0.705867
2,dcnn,100,0.743635,300,0.726725,0.728365,0.699987
3,rcnn,250,0.74179,200,0.719824,0.721991,0.684343
4,lstm,300,0.74826,250,0.72959,0.731797,0.696799
5,gru,300,0.737575,250,0.723307,0.724933,0.691866
