index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.741338,200,0.712744,0.714881,0.683965
1,text cnn,150,0.751259,200,0.725016,0.726649,0.703208
2,dcnn,250,0.749427,300,0.726237,0.727874,0.701636
3,rcnn,250,0.741939,300,0.722054,0.723952,0.688536
4,lstm,250,0.74901,250,0.728646,0.730571,0.696304
5,gru,300,0.734502,300,0.722721,0.725178,0.692694
