index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.736613,100,0.704842,0.706668,0.674964
1,text cnn,100,0.747846,300,0.718667,0.720912,0.695382
2,dcnn,200,0.74694,300,0.718706,0.720618,0.693791
3,rcnn,250,0.738472,300,0.710169,0.712184,0.675804
4,lstm,250,0.745601,250,0.71771,0.719784,0.683325
5,gru,100,0.729252,300,0.71271,0.71493,0.678057
