experiment_name,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
dcnn_punct_4,dcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.8127673,0.73926157,0.76412064,0.74966705,0.8568235,0.7225749,0.724197107,0.724197107,0.724197107,0.417362189,0.347386112,0.417362189,0.696570259,0.724197107,0.695798689
dcnn_punct_5,dcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.8079109,0.7396568,0.7671901,0.7483134,0.852686,0.7289551,0.73032606,0.73032606,0.73032606,0.432380545,0.360108424,0.432380545,0.695684049,0.73032606,0.701815523
dcnn_punct_6,dcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.8141077,0.73928803,0.7694912,0.7504341,0.85838485,0.72089845,0.722235842,0.722235842,0.722235842,0.428017046,0.330894153,0.428017046,0.695190479,0.722235842,0.695229018
dcnn_punct_7,dcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.8126322,0.73891395,0.7602901,0.7507857,0.85509056,0.72965497,0.731306693,0.731306693,0.731306693,0.432380817,0.336956266,0.432380817,0.696292123,0.731306693,0.704548671
dcnn_punct_8,dcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.81196314,0.73936105,0.7640912,0.74990195,0.83845246,0.7347819,0.736455013,0.736455013,0.736455013,0.461658221,0.332446748,0.461658221,0.703201638,0.736455013,0.709906423
dcnn_punct_9,dcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.80852157,0.74079925,0.76137215,0.7496686,0.83577085,0.73164064,0.7330228,0.7330228,0.7330228,0.46552138,0.360601487,0.46552138,0.720030382,0.7330228,0.707841285
dcnn_punct_10,dcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.8087917,0.7405784,0.7572333,0.75072813,0.84007293,0.73035485,0.732287325,0.732287325,0.732287325,0.413098354,0.324430471,0.413098354,0.696456271,0.732287325,0.706023697
rcnn_punct_1,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.9699382,0.7306093,0.9291719,0.7403426,0.9606411,0.71402997,0.715616573,0.715616573,0.715616573,0.373221256,0.295006535,0.373221256,0.679838554,0.715616573,0.674413616
rcnn_punct_2,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.9980101,0.7309746,0.97892106,0.74471307,0.9749157,0.7167155,0.718313312,0.718313312,0.718313312,0.377888352,0.283964217,0.377888352,0.68499333,0.718313312,0.67717934
rcnn_punct_3,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.9760121,0.72969455,0.93001336,0.74507874,0.965264,0.7272461,0.728609953,0.728609953,0.728609953,0.293581091,0.269348094,0.293581091,0.676343893,0.728609953,0.693235552
rcnn_punct_4,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.966158,0.7312002,0.91004705,0.74558127,0.9688622,0.7291667,0.730816377,0.730816377,0.730816377,0.373006154,0.279897155,0.373006154,0.682261653,0.730816377,0.693112905
rcnn_punct_5,rcnn,10000,128,FALSE,50,glove,glove.6B.50d,1.0142052,0.72796816,0.97734743,0.7388552,0.9872673,0.7172038,0.718803628,0.718803628,0.718803628,0.338572469,0.275892301,0.338572469,0.679182774,0.718803628,0.681583944
rcnn_punct_6,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.98474103,0.7287652,0.9354573,0.74111277,0.94458824,0.72264,0.723706791,0.723706791,0.723706791,0.379408081,0.27499755,0.379408081,0.683601105,0.723706791,0.685495163
rcnn_punct_7,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,1.0275244,0.7225117,0.9479157,0.7375607,0.97449577,0.71308595,0.714390782,0.714390782,0.714390782,0.370492725,0.243424855,0.370492725,0.678545962,0.714390782,0.674387385
rcnn_punct_8,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,1.2678348,0.7194669,1.2447369,0.73139936,0.9545028,0.7203776,0.721990684,0.721990684,0.721990684,0.372023169,0.263379915,0.372023169,0.689560379,0.721990684,0.682247504
rcnn_punct_9,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,1.0524734,0.7261423,0.9891994,0.74164486,0.9589618,0.7147624,0.716352047,0.716352047,0.716352047,0.38637596,0.259353985,0.38637596,0.695411026,0.716352047,0.679121386
rcnn_punct_10,rcnn,10000,128,TRUE,50,glove,glove.6B.50d,0.9870799,0.72650945,0.93647766,0.7381146,0.991857,0.7218099,0.723706791,0.723706791,0.723706791,0.384416393,0.282897329,0.384416393,0.68028277,0.723706791,0.686487247
lstm_punct_1,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8396592,0.74943256,0.864858,0.75242096,0.9161818,0.7179362,0.719539103,0.719539103,0.719539103,0.398587074,0.316618328,0.398587074,0.696779553,0.719539103,0.689431629
lstm_punct_2,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.847376,0.74854594,0.8513586,0.753605,0.9337098,0.71946615,0.720519735,0.720519735,0.720519735,0.37793647,0.308021985,0.37793647,0.693555806,0.720519735,0.691132821
