index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,300,0.738757,150,0.710856,0.71243,0.68016
1,text cnn,100,0.752051,100,0.727669,0.729591,0.705067
2,dcnn,250,0.748841,300,0.727425,0.729345,0.702219
3,rcnn,300,0.741217,250,0.725163,0.727629,0.694041
4,lstm,150,0.748069,100,0.724951,0.727139,0.693399
5,gru,300,0.737989,150,0.721289,0.723462,0.689922
