index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,150,0.73606,150,0.703356,0.705148,0.670552
1,text cnn,100,0.748415,100,0.720251,0.722113,0.696306
2,dcnn,200,0.745078,250,0.719268,0.721182,0.694065
3,rcnn,250,0.737952,250,0.713088,0.715004,0.677633
4,lstm,150,0.744643,300,0.71717,0.719269,0.683509
5,gru,100,0.733206,200,0.713242,0.715298,0.678312
