index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
362,rcnn,100,400,0.0,0.01686,0.98314,0.0,0.01686,0.98314
363,rcnn,100,500,0.0,0.0003,0.9997,0.0,0.0003,0.9997
364,rcnn,100,600,0.0,4e-05,0.99996,0.0,4e-05,0.99996
365,rcnn,100,700,0.0,0.0,1.0,0.0,0.0,1.0
366,rcnn,100,800,0.0,8e-05,0.99992,0.0,8e-05,0.99992
367,rcnn,100,900,0.0,0.00038,0.99962,0.0,0.00038,0.99962
368,rcnn,100,1000,0.0,0.00032,0.99968,0.0,0.00032,0.99968
369,rcnn,100,1100,0.0,2e-05,0.99998,0.0,2e-05,0.99998
370,rcnn,100,1200,0.0,0.0,1.0,0.0,0.0,1.0
371,rcnn,100,1300,0.0,0.0005,0.9995,0.0,0.0005,0.9995
372,rcnn,100,1400,0.0,4e-05,0.99996,0.0,4e-05,0.99996
373,rcnn,100,1500,0.0,0.00018,0.99982,0.0,0.00018,0.99982
374,rcnn,100,1600,0.0,0.0019,0.9981,0.0,0.0019,0.9981
375,rcnn,200,300,0.0,0.99854,0.00146,0.0,0.99854,0.00146
376,rcnn,200,400,0.0,0.9968,0.0032,0.0,0.9968,0.0032
377,rcnn,200,500,2e-05,0.81606,0.18392,2e-05,0.81606,0.18392
378,rcnn,200,600,0.0,0.63934,0.36066,0.0,0.63934,0.36066
379,rcnn,200,700,0.0,0.63832,0.36168,0.0,0.63832,0.36168
380,rcnn,200,800,0.0,0.72156,0.27844,0.0,0.72156,0.27844
381,rcnn,200,900,0.0,0.98928,0.01072,0.0,0.98928,0.01072
382,rcnn,200,1000,0.0,0.94368,0.05632,0.0,0.94368,0.05632
383,rcnn,200,1100,0.0,0.42726,0.57274,0.0,0.42726,0.57274
384,rcnn,200,1200,0.0,0.56644,0.43356,0.0,0.56644,0.43356
385,rcnn,200,1300,2e-05,0.84504,0.15494,2e-05,0.84504,0.15494
386,rcnn,200,1400,0.0,0.59002,0.40998,0.0,0.59002,0.40998
387,rcnn,200,1500,0.0,0.91584,0.08416,0.0,0.91584,0.08416
388,rcnn,200,1600,0.00016,0.95448,0.04536,0.00016,0.95448,0.04536
389,rcnn,300,400,0.00362,0.99618,0.0002,0.00362,0.99618,0.0002
390,rcnn,300,500,2e-05,0.99248,0.0075,2e-05,0.99248,0.0075
391,rcnn,300,600,0.0,0.91478,0.08522,0.0,0.91478,0.08522
392,rcnn,300,700,0.0,0.9827,0.0173,0.0,0.9827,0.0173
393,rcnn,300,800,4e-05,0.93238,0.06758,4e-05,0.93238,0.06758
394,rcnn,300,900,0.0,0.99786,0.00214,0.0,0.99786,0.00214
395,rcnn,300,1000,0.00016,0.9917,0.00814,0.00016,0.9917,0.00814
396,rcnn,300,1100,0.0,0.58396,0.41604,0.0,0.58396,0.41604
397,rcnn,300,1200,0.0,0.93556,0.06444,0.0,0.93556,0.06444
398,rcnn,300,1300,8e-05,0.9877,0.01222,8e-05,0.9877,0.01222
399,rcnn,300,1400,0.0,0.98924,0.01076,0.0,0.98924,0.01076
400,rcnn,300,1500,4e-05,0.98802,0.01194,4e-05,0.98802,0.01194
401,rcnn,300,1600,0.0013,0.9977,0.001,0.0013,0.9977,0.001
402,rcnn,400,500,0.00068,0.7274,0.27192,0.00068,0.7274,0.27192
403,rcnn,400,600,0.0,0.90148,0.09852,0.0,0.90148,0.09852
404,rcnn,400,700,0.0,0.93444,0.06556,0.0,0.93444,0.06556
405,rcnn,400,800,0.0,0.9475,0.0525,0.0,0.9475,0.0525
406,rcnn,400,900,0.0,0.96924,0.03076,0.0,0.96924,0.03076
407,rcnn,400,1000,0.0,0.9773,0.0227,0.0,0.9773,0.0227
408,rcnn,400,1100,0.0,0.43064,0.56936,0.0,0.43064,0.56936
409,rcnn,400,1200,0.0,0.78458,0.21542,0.0,0.78458,0.21542
410,rcnn,400,1300,4e-05,0.9545,0.04546,4e-05,0.9545,0.04546
411,rcnn,400,1400,0.0,0.89938,0.10062,0.0,0.89938,0.10062
412,rcnn,400,1500,0.0,0.9159,0.0841,0.0,0.9159,0.0841
413,rcnn,400,1600,4e-05,0.98844,0.01152,4e-05,0.98844,0.01152
414,rcnn,500,600,0.00014,0.99144,0.00842,0.00014,0.99144,0.00842
415,rcnn,500,700,0.0,0.99244,0.00756,0.0,0.99244,0.00756
416,rcnn,500,800,0.0,0.99124,0.00876,0.0,0.99124,0.00876
417,rcnn,500,900,0.0033,0.9964,0.0003,0.0033,0.9964,0.0003
418,rcnn,500,1000,0.00064,0.99796,0.0014,0.00064,0.99796,0.0014
419,rcnn,500,1100,0.0,0.99508,0.00492,0.0,0.99508,0.00492
420,rcnn,500,1200,4e-05,0.99804,0.00192,4e-05,0.99804,0.00192
421,rcnn,500,1300,0.0,0.99998,2e-05,0.0,0.99998,2e-05
422,rcnn,500,1400,0.0,0.9977,0.0023,0.0,0.9977,0.0023
423,rcnn,500,1500,0.00212,0.99672,0.00116,0.00212,0.99672,0.00116
424,rcnn,500,1600,0.00904,0.99096,0.0,0.00904,0.99096,0.0
425,rcnn,600,700,0.0,1.0,0.0,0.0,1.0,0.0
426,rcnn,600,800,0.0,1.0,0.0,0.0,1.0,0.0
427,rcnn,600,900,0.00222,0.99778,0.0,0.00222,0.99778,0.0
428,rcnn,600,1000,0.01676,0.9826,0.00064,0.01676,0.9826,0.00064
429,rcnn,600,1100,0.0,0.99808,0.00192,0.0,0.99808,0.00192
430,rcnn,600,1200,6e-05,0.99964,0.0003,6e-05,0.99964,0.0003
431,rcnn,600,1300,0.0005,0.9995,0.0,0.0005,0.9995,0.0
432,rcnn,600,1400,0.0,0.99994,6e-05,0.0,0.99994,6e-05
433,rcnn,600,1500,0.00602,0.99398,0.0,0.00602,0.99398,0.0
434,rcnn,600,1600,0.04048,0.95952,0.0,0.04048,0.95952,0.0
435,rcnn,700,800,2e-05,0.99998,0.0,2e-05,0.99998,0.0
436,rcnn,700,900,0.0,0.9999,0.0001,0.0,0.9999,0.0001
437,rcnn,700,1000,0.01802,0.98194,4e-05,0.01802,0.98194,4e-05
438,rcnn,700,1100,0.0,0.99988,0.00012,0.0,0.99988,0.00012
439,rcnn,700,1200,0.0,1.0,0.0,0.0,1.0,0.0
440,rcnn,700,1300,0.00342,0.99658,0.0,0.00342,0.99658,0.0
441,rcnn,700,1400,0.0,1.0,0.0,0.0,1.0,0.0
442,rcnn,700,1500,0.00136,0.99864,0.0,0.00136,0.99864,0.0
