index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,150,0.721697,200,0.691748,0.693797,0.656754
1,text cnn,100,0.734111,150,0.708382,0.710223,0.676096
2,dcnn,300,0.738186,250,0.71665,0.718804,0.691442
3,rcnn,100,0.72276,200,0.69681,0.699436,0.661375
4,lstm,100,0.73665,200,0.710547,0.712675,0.677325
5,gru,100,0.711966,200,0.698372,0.700172,0.664068
