index,model_name,val_embedding_dim,val_acc,test_embedding_dim,test_acc,f1_micro,f1_weighted
0,cnn,100,0.720188,250,0.684359,0.686516,0.645023
1,text cnn,250,0.728347,200,0.698887,0.700883,0.669666
2,dcnn,300,0.735383,200,0.705693,0.707968,0.680547
3,rcnn,100,0.717061,100,0.685817,0.688036,0.647346
4,lstm,100,0.733787,200,0.704064,0.706276,0.669361
5,gru,100,0.708932,100,0.688722,0.690954,0.650656
