index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
72,text cnn,20,40,2e-05,0.9864,0.01358,2e-05,0.9864,0.01358
73,text cnn,20,45,0.0,1.0,0.0,0.0,1.0,0.0
74,text cnn,20,50,0.0,0.99978,0.00022,0.0,0.99978,0.00022
75,text cnn,25,30,0.0077,0.9923,0.0,0.0077,0.9923,0.0
76,text cnn,25,35,0.0,1.0,0.0,0.0,1.0,0.0
77,text cnn,25,40,0.00012,0.99988,0.0,0.00012,0.99988,0.0
78,text cnn,25,45,0.0,1.0,0.0,0.0,1.0,0.0
79,text cnn,25,50,0.0,1.0,0.0,0.0,1.0,0.0
80,text cnn,30,35,0.0,0.99162,0.00838,0.0,0.99162,0.00838
81,text cnn,30,40,0.0,0.97754,0.02246,0.0,0.97754,0.02246
82,text cnn,30,45,0.0,0.99794,0.00206,0.0,0.99794,0.00206
83,text cnn,30,50,0.0,1.0,0.0,0.0,1.0,0.0
84,text cnn,35,40,0.0,0.99798,0.00202,0.0,0.99798,0.00202
85,text cnn,35,45,0.00034,0.99966,0.0,0.00034,0.99966,0.0
86,text cnn,35,50,0.0,0.99992,8e-05,0.0,0.99992,8e-05
87,text cnn,40,45,0.00146,0.99842,0.00012,0.00146,0.99842,0.00012
88,text cnn,40,50,0.0,0.99976,0.00024,0.0,0.99976,0.00024
89,text cnn,45,50,0.0,0.99998,2e-05,0.0,0.99998,2e-05
90,dcnn,5,10,0.0,0.3854,0.6146,0.0,0.3854,0.6146
91,dcnn,5,15,0.0,0.23294,0.76706,0.0,0.23294,0.76706
92,dcnn,5,20,0.0,0.18564,0.81436,0.0,0.18564,0.81436
93,dcnn,5,25,0.0,0.06898,0.93102,0.0,0.06898,0.93102
94,dcnn,5,30,0.0,0.6807,0.3193,0.0,0.6807,0.3193
95,dcnn,5,35,0.0,0.19086,0.80914,0.0,0.19086,0.80914
96,dcnn,5,40,0.0,0.14468,0.85532,0.0,0.14468,0.85532
97,dcnn,5,45,0.0,0.27836,0.72164,0.0,0.27836,0.72164
98,dcnn,5,50,0.0,0.21554,0.78446,0.0,0.21554,0.78446
99,dcnn,10,15,0.0,0.99996,4e-05,0.0,0.99996,4e-05
100,dcnn,10,20,0.0,0.99984,0.00016,0.0,0.99984,0.00016
101,dcnn,10,25,0.0,0.99258,0.00742,0.0,0.99258,0.00742
102,dcnn,10,30,0.0,1.0,0.0,0.0,1.0,0.0
103,dcnn,10,35,0.0,0.99928,0.00072,0.0,0.99928,0.00072
104,dcnn,10,40,0.0,0.9999,0.0001,0.0,0.9999,0.0001
105,dcnn,10,45,0.0,1.0,0.0,0.0,1.0,0.0
106,dcnn,10,50,0.0,0.99998,2e-05,0.0,0.99998,2e-05
107,dcnn,15,20,0.0,0.99942,0.00058,0.0,0.99942,0.00058
108,dcnn,15,25,0.0,0.99786,0.00214,0.0,0.99786,0.00214
109,dcnn,15,30,0.00774,0.9922,6e-05,0.00774,0.9922,6e-05
110,dcnn,15,35,6e-05,0.99776,0.00218,6e-05,0.99776,0.00218
111,dcnn,15,40,0.0,0.99916,0.00084,0.0,0.99916,0.00084
112,dcnn,15,45,2e-05,0.99998,0.0,2e-05,0.99998,0.0
113,dcnn,15,50,0.0,1.0,0.0,0.0,1.0,0.0
114,dcnn,20,25,0.0,0.99686,0.00314,0.0,0.99686,0.00314
115,dcnn,20,30,0.03986,0.96014,0.0,0.03986,0.96014,0.0
116,dcnn,20,35,0.0,0.99974,0.00026,0.0,0.99974,0.00026
117,dcnn,20,40,4e-05,0.99968,0.00028,4e-05,0.99968,0.00028
118,dcnn,20,45,4e-05,0.99996,0.0,4e-05,0.99996,0.0
119,dcnn,20,50,0.02314,0.97686,0.0,0.02314,0.97686,0.0
120,dcnn,25,30,0.17034,0.82966,0.0,0.17034,0.82966,0.0
121,dcnn,25,35,0.00144,0.99856,0.0,0.00144,0.99856,0.0
122,dcnn,25,40,0.0,1.0,0.0,0.0,1.0,0.0
123,dcnn,25,45,0.01788,0.98212,0.0,0.01788,0.98212,0.0
124,dcnn,25,50,0.00478,0.99522,0.0,0.00478,0.99522,0.0
125,dcnn,30,35,0.0,0.75408,0.24592,0.0,0.75408,0.24592
126,dcnn,30,40,0.0,0.9152,0.0848,0.0,0.9152,0.0848
127,dcnn,30,45,0.0,0.97694,0.02306,0.0,0.97694,0.02306
128,dcnn,30,50,0.0,0.99556,0.00444,0.0,0.99556,0.00444
129,dcnn,35,40,0.0012,0.99868,0.00012,0.0012,0.99868,0.00012
130,dcnn,35,45,0.00066,0.99934,0.0,0.00066,0.99934,0.0
131,dcnn,35,50,0.00202,0.99798,0.0,0.00202,0.99798,0.0
132,dcnn,40,45,0.00834,0.99166,0.0,0.00834,0.99166,0.0
133,dcnn,40,50,0.01164,0.98836,0.0,0.01164,0.98836,0.0
134,dcnn,45,50,0.00058,0.99932,0.0001,0.00058,0.99932,0.0001
135,rcnn,5,10,6e-05,0.60818,0.39176,6e-05,0.60818,0.39176
136,rcnn,5,15,0.0,0.31376,0.68624,0.0,0.31376,0.68624
137,rcnn,5,20,4e-05,0.54952,0.45044,4e-05,0.54952,0.45044
138,rcnn,5,25,0.0,0.01444,0.98556,0.0,0.01444,0.98556
139,rcnn,5,30,0.0,0.14416,0.85584,0.0,0.14416,0.85584
140,rcnn,5,35,0.0,0.03138,0.96862,0.0,0.03138,0.96862
141,rcnn,5,40,0.0,0.1585,0.8415,0.0,0.1585,0.8415
142,rcnn,5,45,0.0,0.1449,0.8551,0.0,0.1449,0.8551
143,rcnn,5,50,0.0,0.00422,0.99578,0.0,0.00422,0.99578
144,rcnn,10,15,0.0,0.99296,0.00704,0.0,0.99296,0.00704
145,rcnn,10,20,0.00012,0.99964,0.00024,0.00012,0.99964,0.00024
146,rcnn,10,25,0.0,0.65686,0.34314,0.0,0.65686,0.34314
147,rcnn,10,30,0.0,0.99794,0.00206,0.0,0.99794,0.00206
148,rcnn,10,35,0.0,0.94886,0.05114,0.0,0.94886,0.05114
149,rcnn,10,40,0.0,0.96334,0.03666,0.0,0.96334,0.03666
150,rcnn,10,45,0.0,0.99978,0.00022,0.0,0.99978,0.00022
151,rcnn,10,50,0.0,0.74562,0.25438,0.0,0.74562,0.25438
152,rcnn,15,20,0.00022,0.99978,0.0,0.00022,0.99978,0.0
153,rcnn,15,25,0.0,0.96892,0.03108,0.0,0.96892,0.03108
154,rcnn,15,30,0.0,1.0,0.0,0.0,1.0,0.0
155,rcnn,15,35,0.0,0.99996,4e-05,0.0,0.99996,4e-05
156,rcnn,15,40,0.0,0.99942,0.00058,0.0,0.99942,0.00058
157,rcnn,15,45,8e-05,0.99956,0.00036,8e-05,0.99956,0.00036
158,rcnn,15,50,0.0,0.94502,0.05498,0.0,0.94502,0.05498
159,rcnn,20,25,0.0,0.86212,0.13788,0.0,0.86212,0.13788
160,rcnn,20,30,0.0,0.99898,0.00102,0.0,0.99898,0.00102
161,rcnn,20,35,0.0,0.99976,0.00024,0.0,0.99976,0.00024
162,rcnn,20,40,0.0,0.99982,0.00018,0.0,0.99982,0.00018
163,rcnn,20,45,0.0,0.99192,0.00808,0.0,0.99192,0.00808
164,rcnn,20,50,0.0,0.9464,0.0536,0.0,0.9464,0.0536
165,rcnn,25,30,0.00102,0.99898,0.0,0.00102,0.99898,0.0
166,rcnn,25,35,0.00026,0.99974,0.0,0.00026,0.99974,0.0
167,rcnn,25,40,0.00328,0.99672,0.0,0.00328,0.99672,0.0
168,rcnn,25,45,0.01166,0.98834,0.0,0.01166,0.98834,0.0
