index,model_name,max_seq_length,vocab_size,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,5,1700,True,50,1.04228906,63.51196639999999,1.34371008,56.5856553,1.2105533099999999,58.3462646,0.5838884866039101,0.5838884866039101,0.5838884866039101,0.5548884205842797,0.5161988341741576,0.5548884205842797,0.5806815148746253,0.5838884866039101,0.561165320571906,0.0034627001911481494,0.10101055583914831,0.016481617398706135,0.35909667037568194,0.0196661338227506,0.35222802008774273,0.003584379477394514,0.003584379477394514,0.003584379477394514,0.019574900571874707,0.009133423605890574,0.019574900571874707,0.010456413188946106,0.003584379477394514,0.0072860598275172606
1,cnn,45,1700,True,50,0.9871183909999999,64.94674300000001,1.30510422,57.3828902,1.18392372,58.537355000000005,0.5861332367849383,0.5861332367849383,0.5861332367849383,0.5732950019564129,0.5275499740783384,0.5732950019564129,0.5926305166701763,0.5861332367849383,0.5663924358226884,0.003589443838416111,0.11680899518063703,0.005777164952504255,0.22271042833179364,0.019823709094291937,1.0280508945742368,0.009871822560220851,0.009871822560220851,0.009871822560220851,0.020487918511101325,0.00991975092529722,0.020487918511101325,0.010438066401648492,0.009871822560220851,0.008432172628859405
2,cnn,40,1700,True,50,0.987025047,64.98155849999999,1.30233902,57.40722659999999,1.1738076199999998,59.34985499999999,0.593845039826213,0.593845039826213,0.593845039826213,0.5734792324542015,0.5325863133681116,0.5734792324542015,0.5967843593390012,0.593845039826213,0.5734831158821894,0.003941657316392183,0.11964737883022913,0.012197335646662047,0.26043182120607045,0.009958466768958162,0.1461421265176891,0.0013844682983056146,0.0013844682983056146,0.0013844682983056146,0.015155219627896656,0.006570261449116339,0.015155219627896656,0.008868165285094919,0.0013844682983056146,0.004246576541545966
3,cnn,35,1700,True,50,0.988906829,64.93322029999999,1.3052244000000002,57.321764400000006,1.17386159,59.48491320000001,0.595365677045619,0.595365677045619,0.595365677045619,0.5691133229078891,0.5333810441055811,0.5691133229078891,0.5942545730095146,0.595365677045619,0.5751123241228613,0.0034767666557511865,0.13408433397435093,0.010538987569760053,0.19284764506740518,0.017693399598937086,0.5146198342191356,0.005432724217700925,0.005432724217700925,0.005432724217700925,0.01729248923523403,0.004947334883227625,0.01729248923523403,0.010822115333306034,0.005432724217700925,0.004767050100514477
4,cnn,30,1700,True,50,0.9894485640000001,64.9370184,1.30675841,57.48695819999999,1.18829617,59.094109200000005,0.5917451122375091,0.5917451122375091,0.5917451122375091,0.5724010682006555,0.5297357764857547,0.5724010682006555,0.5930192070564283,0.5917451122375091,0.5710535518213109,0.00525339488216527,0.1396993661444311,0.016083704440654628,0.2706391577764634,0.021503117453422104,0.7991031284852063,0.007771246216809786,0.007771246216809786,0.007771246216809786,0.017028068591176844,0.008938952854654151,0.017028068591176844,0.007910156310989814,0.007771246216809786,0.006875909408469372
5,cnn,50,1700,True,50,0.986901442,64.9855215,1.30729512,57.4089246,1.17091584,59.2571819,0.5932295438088342,0.5932295438088342,0.5932295438088342,0.5806391625193768,0.5303803796455515,0.5806391625193768,0.5982851234700123,0.5932295438088342,0.5723208933303826,0.0029797220261210556,0.11591762904776338,0.01113985260363286,0.29534473544889506,0.014096149077610464,0.5929519953086814,0.005250165757701253,0.005250165757701253,0.005250165757701253,0.024681305772527362,0.007305838881946041,0.024681305772527362,0.013431557868449098,0.005250165757701253,0.007098257161897661
6,cnn,20,1700,True,50,0.9893853779999999,64.9428542,1.31087399,57.334359799999994,1.1863157899999999,58.710487,0.5877986965966692,0.5877986965966692,0.5877986965966692,0.5709443330698282,0.5258534575666399,0.5709443330698282,0.592729275875316,0.5877986965966692,0.5676589288390282,0.00279741502564937,0.10858180521288407,0.009043715284408572,0.28132678692810004,0.018921027871624106,0.64302254771906,0.005745567520476775,0.005745567520476775,0.005745567520476775,0.013199027128932441,0.004442202758178939,0.013199027128932441,0.007944147788012432,0.005745567520476775,0.008206192173365018
7,cnn,15,1700,True,50,0.994288405,64.7641648,1.31745003,57.23490589999999,1.1904236400000001,58.5316089,0.586314265025344,0.586314265025344,0.586314265025344,0.5715655431682429,0.5224943811323179,0.5715655431682429,0.5920962180608724,0.586314265025344,0.5652841947070355,0.004852119802038977,0.20053522150529243,0.008624339264488651,0.24194196512821153,0.017771543388562388,0.7819303447081661,0.007692126412085653,0.007692126412085653,0.007692126412085653,0.016353236347896875,0.008304558704593908,0.016353236347896875,0.009286500752685674,0.007692126412085653,0.00840961544461665
8,cnn,10,1700,True,50,1.0077933300000002,64.43093189999999,1.3192273600000002,57.2848618,1.1928970399999999,58.4202588,0.5847936278059377,0.5847936278059377,0.5847936278059377,0.5675158306494864,0.5237147913921437,0.5675158306494864,0.5885947134900041,0.5847936278059377,0.5659648465310488,0.0048339217499413,0.1893771596221206,0.01337153403243037,0.22117148765345965,0.015440340746902115,0.5917744994550649,0.005511509751137436,0.005511509751137436,0.005511509751137436,0.011475857334944523,0.007336690177721049,0.011475857334944523,0.006660505569526469,0.005511509751137436,0.009317404625863206
9,cnn,25,1700,True,50,0.991824612,64.8575503,1.3038429700000003,57.4915565,1.18727131,59.18247,0.5919985517740767,0.5919985517740767,0.5919985517740767,0.5593489754658948,0.5302869578421017,0.5593489754658948,0.5858003028809684,0.5919985517740767,0.5696920062584138,0.004368810831813752,0.11926130377829382,0.011477544625344567,0.26334979891908533,0.01697312470095992,0.3959740160981388,0.004054924828746519,0.004054924828746519,0.004054924828746519,0.014895955899834407,0.007004743462770878,0.014895955899834407,0.010964935195304979,0.004054924828746519,0.006664576942847522
