index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,600,25,True,300,0.881887487,68.17128650000001,1.43757865,57.57529800000001,1.1585853700000002,59.217673200000014,0.5928312816799421,0.5928312816799421,0.5928312816799421,0.5735215450617551,0.5326464153149079,0.5735215450617551,0.5942695497050559,0.5928312816799421,0.5719836809203641,0.005663735729749877,0.17900524925838235,0.016632465706646695,0.2361553561784683,0.020519406737961255,1.0093461329317022,0.01014361394254147,0.01014361394254147,0.01014361394254147,0.01316348728398175,0.00922052542144469,0.01316348728398175,0.008984971496706835,0.01014361394254147,0.0101481052685858
1,dcnn,600,25,True,250,0.934969006,67.0232808,1.29924477,57.7260366,1.16161133,59.958332600000006,0.5998189717595944,0.5998189717595944,0.5998189717595944,0.580057838090454,0.5354133108224511,0.580057838090454,0.6035164360968439,0.5998189717595944,0.5815057021441066,0.009636838680677611,0.34120576585456475,0.014561105156855417,0.38942618576772564,0.01892879679553817,0.5804682956056914,0.005686451500906213,0.005686451500906213,0.005686451500906213,0.011068715569779394,0.00912340739646844,0.011068715569779394,0.008841906760592346,0.005686451500906213,0.005782188877516944
2,gru,1200,30,True,200,0.787193495,71.6996107,1.4101426400000001,58.49462569999999,1.09712388,61.1214075,0.6112237509051412,0.6112237509051412,0.6112237509051412,0.6039768468132471,0.5638268493247403,0.6039768468132471,0.621957523010157,0.6112237509051412,0.5995325397861644,0.0032238931896052953,0.11639194996604997,0.01694541685603781,0.35690062078556417,0.01591611603241611,0.6386036005604135,0.006714713544664981,0.006714713544664981,0.006714713544664981,0.011114375023420225,0.004790913161811203,0.011114375023420225,0.007943499435154183,0.006714713544664981,0.004747014232908832
3,lstm,800,10,True,300,0.794579182,71.3133566,1.5163823,58.152690099999994,1.1350608800000002,59.863504999999996,0.5990224475018103,0.5990224475018103,0.5990224475018103,0.5854937308396919,0.5504552398871814,0.5854937308396919,0.6054213008574142,0.5990224475018103,0.5870278146542289,0.0032249653867076357,0.12317484243428643,0.014667968069231705,0.15138593196011998,0.020532205858482675,0.6240863498877564,0.006333976669924033,0.006333976669924033,0.006333976669924033,0.01126270687666319,0.006843335800148388,0.01126270687666319,0.010920449327644303,0.006333976669924033,0.007993815690534752
4,rcnn,800,25,True,100,0.8706144979999999,68.9262385,1.3209206100000002,58.7314448,1.13975176,60.4331872,0.6045257060101376,0.6045257060101376,0.6045257060101376,0.594324568207263,0.5526700210062205,0.594324568207263,0.6142212047117922,0.6045257060101376,0.5917122947672486,0.010334732196021542,0.3211626173379974,0.014154540948123647,0.20245397132396506,0.01749117523471634,0.6193273044535768,0.006101603622266464,0.006101603622266464,0.006101603622266464,0.009255620284590487,0.008480805590578674,0.009255620284590487,0.006043436663105795,0.006101603622266464,0.005043176585496065
5,text cnn,200,40,True,300,0.879127349,68.9257993,1.2142244899999999,58.538320899999995,1.1303413199999999,60.2420972,0.6026792179580015,0.6026792179580015,0.6026792179580015,0.5879006874267745,0.5477086798303769,0.5879006874267745,0.6091108289425315,0.6026792179580015,0.5888056152599033,0.0029185100838630077,0.1539957547921716,0.006243681683367826,0.2440920390237398,0.015293261183410232,0.6334808950022426,0.006479361270001811,0.006479361270001811,0.006479361270001811,0.009156198554318514,0.006152718875901983,0.009156198554318514,0.007204180156606308,0.006479361270001811,0.004880355242600947
