index,model_name,embedding_type,embedding_dim,vocab_size,max_seq_length,use_punct,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,deps,100,10000,128,True,0.7707865569999999,75.84423430000001,0.851431625,74.38526850000001,0.917874902,71.3806969,0.7150036773719048,0.7150036773719048,0.7150036773719048,0.4346833674838906,0.3328819433369954,0.4346833674838906,0.686731461331176,0.7150036773719048,0.683456286530438,0.0014275337782424916,0.037148205887736596,0.003869781053686675,0.18420921056912262,0.021847347689930425,0.4851380306039956,0.004759759048271149,0.004759759048271149,0.004759759048271187,0.044095620617262576,0.02465216850803484,0.044095620617262576,0.011999110371763022,0.004759759048271149,0.006384106713177847
1,cnn,deps,150,10000,128,True,0.781755354,75.6103305,0.846456135,74.466137,0.9262374019999999,71.1391616,0.7127727384162785,0.7127727384162785,0.7127727384162785,0.4373510515261426,0.332321367238464,0.4373510515261426,0.6823441215912607,0.7127727384162785,0.6791604304628944,0.0016297573167274565,0.0634680062503068,0.006036065246314137,0.2360150511594086,0.012767759584133741,0.640843025693015,0.006436872911065998,0.006436872911065998,0.006436872911065998,0.013993455493833781,0.026593986542852232,0.013993455493833781,0.005804073114959041,0.006436872911065998,0.008481813436745957
2,cnn,deps,200,10000,128,True,0.7913317559999999,75.41626609999999,0.8491251250000001,74.32648040000001,0.921577635,71.41520270000001,0.7153223829369942,0.7153223829369942,0.7153223829369942,0.43468757172784683,0.33908847459528113,0.43468757172784683,0.6832733641932982,0.7153223829369942,0.6840586488568705,0.0014796534637332346,0.051167122856706465,0.009895019170120423,0.21523591678910015,0.01004893359924243,0.5126466453658883,0.0051200955110752835,0.0051200955110752835,0.0051200955110752835,0.027618867242395782,0.011930641555483675,0.027618867242395782,0.004484167807019623,0.0051200955110752835,0.006563302516942761
3,cnn,deps,250,10000,128,True,0.798596542,75.2126542,0.8535155189999999,74.2208035,0.9231111280000001,71.1556,0.7129933807305712,0.7129933807305712,0.7129933807305712,0.4413909478386285,0.330948765986922,0.4413909478386285,0.6807317776050616,0.7129933807305712,0.6814888775974747,0.0019525133863521882,0.08447190528980107,0.006353550987843028,0.15066683180466153,0.011077673859511611,0.4873379049334161,0.004837414318337113,0.004837414318337113,0.0048374143183370815,0.02847046923399933,0.01325626684390546,0.02847046923399933,0.007593821550577023,0.004837414318337113,0.0064261637395745305
4,cnn,deps,300,10000,128,True,0.8043959839999999,75.0942766,0.846892811,74.2776324,0.9266331710000001,71.053549,0.7121353272860996,0.7121353272860996,0.7121353272860996,0.44234911736513205,0.33328429063618836,0.44234911736513205,0.6779672841975407,0.7121353272860996,0.6797897103169438,0.001956265424931461,0.06922088649982827,0.006130051712128191,0.16877551417996264,0.01166487835872516,0.5255038618568326,0.00523106143495421,0.00523106143495421,0.005231061434954258,0.02873943808735987,0.02523895148639825,0.02873943808735987,0.005728626719755188,0.00523106143495421,0.006853664949952135
5,cnn,fasttext,100,10000,128,True,0.7651379530000001,76.00628549999999,0.8467308470000001,74.59211580000002,0.9095595910000001,71.53125209999999,0.7167933316989459,0.7167933316989459,0.7167933316989459,0.4326224650110172,0.33721474672063056,0.4326224650110172,0.6876417331946121,0.7167933316989459,0.6869943948830737,0.001812411036137279,0.04113349192634974,0.007485846322225619,0.31226127012053484,0.017370457579734783,0.6457796960363236,0.0066588004175385995,0.0066588004175385995,0.006658800417538606,0.035155481269277734,0.014324453500088482,0.035155481269277734,0.008883387451909372,0.0066588004175385995,0.009110403779793469
6,cnn,fasttext,150,10000,128,True,0.774733471,75.7538221,0.845738455,74.58371539999999,0.9169371719999999,71.58414760000001,0.7171855847021329,0.7171855847021329,0.7171855847021329,0.4481752205958139,0.34313356524609306,0.4481752205958139,0.6858001687119972,0.7171855847021329,0.6856804456020178,0.002348854066511071,0.07558506610796244,0.011170997126657147,0.19677786585622947,0.013225149350399538,0.598448025046863,0.0060518701485409495,0.0060518701485409495,0.006051870148540964,0.030543810446719555,0.025561458520716358,0.030543810446719555,0.006855617764729396,0.0060518701485409495,0.006751756460643284
7,cnn,fasttext,200,10000,128,True,0.782912868,75.5923672,0.84226215,74.5653015,0.9080121850000001,71.60140179999999,0.7175533218926209,0.7175533218926209,0.7175533218926209,0.4404486764089161,0.32884897845182326,0.4404486764089161,0.6915705486408416,0.7175533218926209,0.686750945279343,0.0012075117584410236,0.06395504527366387,0.0061158038898759814,0.15488819136055432,0.009208835409300365,0.5634195127052948,0.005659855876968145,0.005659855876968145,0.005659855876968165,0.032874565471023576,0.020864830745692203,0.032874565471023576,0.00839083849788956,0.005659855876968145,0.005573314251013426
8,cnn,fasttext,250,10000,128,True,0.791238205,75.4304445,0.8467321630000001,74.399482,0.9139178130000001,71.5672214,0.717210100514832,0.717210100514832,0.717210100514832,0.43900174625580257,0.33674464603061277,0.43900174625580257,0.6860643321238319,0.717210100514832,0.6853321287556271,0.0014635793960716774,0.06814876535484038,0.007000820251765797,0.1530623806100034,0.011992505075191416,0.29212724211290075,0.002989745547099235,0.002989745547099235,0.0029897455470992425,0.028310146668847357,0.019130452537493924,0.028310146668847357,0.006583454319410226,0.002989745547099235,0.004706677688284376
9,cnn,fasttext,300,10000,128,True,0.7950918140000001,75.3824571,0.8516092819999999,74.37432290000001,0.9239407,71.1583669,0.7129933807305712,0.7129933807305712,0.7129933807305712,0.4296047032721931,0.33291252596974297,0.4296047032721931,0.6798671642209628,0.7129933807305712,0.6801444174559661,0.0019481515589239412,0.061281374359854875,0.007239730039477035,0.186483049601146,0.016160243945259285,0.4994103184446516,0.0051034388019629414,0.0051034388019629414,0.005103438801962966,0.0389981472837934,0.01836576021247407,0.0389981472837934,0.00906976793436689,0.0051034388019629414,0.006442685786913865
