index,model_name,embed_type,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
1,dcnn,fasttext,100,200,0.0,0.52694,0.47306,0.0,0.52694,0.47306
2,dcnn,fasttext,100,250,0.0,0.83058,0.16942,0.0,0.83058,0.16942
3,dcnn,fasttext,150,250,0.0,1.0,0.0,0.0,1.0,0.0
4,dcnn,fasttext,200,150,0.0,1.0,0.0,0.0,1.0,0.0
5,dcnn,fasttext,200,250,0.0,1.0,0.0,0.0,1.0,0.0
6,dcnn,fasttext,300,100,0.14174,0.85826,0.0,0.14174,0.85826,0.0
7,dcnn,fasttext,300,150,2e-05,0.99996,2e-05,2e-05,0.99996,2e-05
8,dcnn,fasttext,300,200,0.0,1.0,0.0,0.0,1.0,0.0
9,dcnn,fasttext,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,dcnn,numberbatch,100,150,4e-05,0.99996,0.0,4e-05,0.99996,0.0
1,dcnn,numberbatch,100,250,0.0,0.99952,0.00048,0.0,0.99952,0.00048
2,dcnn,numberbatch,200,100,0.0,1.0,0.0,0.0,1.0,0.0
3,dcnn,numberbatch,200,150,0.0,1.0,0.0,0.0,1.0,0.0
4,dcnn,numberbatch,200,250,0.0,0.99828,0.00172,0.0,0.99828,0.00172
5,dcnn,numberbatch,250,150,0.0,1.0,0.0,0.0,1.0,0.0
6,dcnn,numberbatch,300,100,0.0031,0.9969,0.0,0.0031,0.9969,0.0
7,dcnn,numberbatch,300,150,0.01052,0.98948,0.0,0.01052,0.98948,0.0
8,dcnn,numberbatch,300,200,0.12722,0.87278,0.0,0.12722,0.87278,0.0
9,dcnn,numberbatch,300,250,0.0002,0.9998,0.0,0.0002,0.9998,0.0
0,dcnn,word2vec,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,dcnn,word2vec,200,100,0.00018,0.99982,0.0,0.00018,0.99982,0.0
2,dcnn,word2vec,200,150,0.00022,0.99978,0.0,0.00022,0.99978,0.0
3,dcnn,word2vec,200,250,0.0,1.0,0.0,0.0,1.0,0.0
4,dcnn,word2vec,200,300,0.0,0.89582,0.10418,0.0,0.89582,0.10418
5,dcnn,word2vec,250,100,0.01706,0.98294,0.0,0.01706,0.98294,0.0
6,dcnn,word2vec,250,150,0.03016,0.96984,0.0,0.03016,0.96984,0.0
7,dcnn,word2vec,250,300,0.0,0.99978,0.00022,0.0,0.99978,0.00022
8,dcnn,word2vec,300,100,0.5875,0.4125,0.0,0.5875,0.4125,0.0
9,dcnn,word2vec,300,150,0.34964,0.65036,0.0,0.34964,0.65036,0.0
0,dcnn,deps,100,150,0.0,0.99794,0.00206,0.0,0.99794,0.00206
1,dcnn,deps,200,100,0.01072,0.98928,0.0,0.01072,0.98928,0.0
2,dcnn,deps,200,150,0.0007,0.9993,0.0,0.0007,0.9993,0.0
3,dcnn,deps,200,250,0.0,0.99984,0.00016,0.0,0.99984,0.00016
4,dcnn,deps,250,100,0.1414,0.8586,0.0,0.1414,0.8586,0.0
5,dcnn,deps,250,150,0.00022,0.99978,0.0,0.00022,0.99978,0.0
6,dcnn,deps,300,100,0.5457,0.4543,0.0,0.5457,0.4543,0.0
7,dcnn,deps,300,150,0.0159,0.9841,0.0,0.0159,0.9841,0.0
8,dcnn,deps,300,200,0.0,1.0,0.0,0.0,1.0,0.0
9,dcnn,deps,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,rcnn,glove,100,150,0.0,0.95884,0.04116,0.0,0.95884,0.04116
1,rcnn,glove,100,200,0.0,0.7142,0.2858,0.0,0.7142,0.2858
2,rcnn,glove,100,250,0.0,0.82238,0.17762,0.0,0.82238,0.17762
3,rcnn,glove,100,300,0.0,0.75622,0.24378,0.0,0.75622,0.24378
4,rcnn,glove,150,200,0.0,0.99836,0.00164,0.0,0.99836,0.00164
5,rcnn,glove,150,250,0.0,1.0,0.0,0.0,1.0,0.0
6,rcnn,glove,150,300,0.0,0.99904,0.00096,0.0,0.99904,0.00096
7,rcnn,glove,200,250,0.00304,0.99696,0.0,0.00304,0.99696,0.0
8,rcnn,glove,200,300,4e-05,0.99994,2e-05,4e-05,0.99994,2e-05
9,rcnn,glove,250,300,2e-05,0.99972,0.00026,2e-05,0.99972,0.00026
0,rcnn,fasttext,100,150,0.0,0.9998,0.0002,0.0,0.9998,0.0002
1,rcnn,fasttext,100,250,0.0,0.99914,0.00086,0.0,0.99914,0.00086
2,rcnn,fasttext,100,300,0.0,0.9994,0.0006,0.0,0.9994,0.0006
3,rcnn,fasttext,200,100,0.01334,0.98666,0.0,0.01334,0.98666,0.0
4,rcnn,fasttext,200,150,0.00066,0.99934,0.0,0.00066,0.99934,0.0
5,rcnn,fasttext,200,250,0.01204,0.98772,0.00024,0.01204,0.98772,0.00024
6,rcnn,fasttext,200,300,4e-05,0.99994,2e-05,4e-05,0.99994,2e-05
